type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,57,"– 7,0",59,51.5,212,23992
Wohngebäude zusammen,51,"– 21,8",59,51.2,211,18144
Wohnheime,1,"– 3,3",1,3.3,20,50
Wohngebäude mit Eigentumswohnungen,5,"– 2,6",–,3.5,3,1068
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,13,"– 7,0",32,24.6,119,7787
Wohnungsunternehmen,9,"– 2,5",24,20.2,76,6532
Immobilienfonds,1,"– 1,2",1,1.2,6,34
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,"– 3,3",7,3.3,37,1221
Private Haushalte,37,"– 14,8",27,26.2,91,9738
Organisationen ohne Erwerbszweck,1,–,–,0.4,1,619
Nichtwohngebäude,6,14.8,–,0.3,1,5848
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,9.8,–,–,–,798
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,2,"– 1,4",–,0.3,1,4542
Fabrik- und Werkstattgebäude,1,0,–,0.3,1,25
Handelsgebäude,–,–,–,–,–,–
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,1,"– 1,4",–,–,–,4517
Sonstige Nichtwohngebäude,2,6.3,–,–,–,508
Ausgewählte Infrastrukturgebäude,2,6.3,–,–,–,508
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,3,9.5,–,–,–,4615
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,2,7.4,–,–,–,4547
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",1,2.1,–,–,–,68
Private Haushalte,2,1,–,0.3,1,793
Organisationen o. Erwerbszweck,1,4.3,–,–,–,440
