type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,162,533.7,987,690.5,2815,254478
Wohngebäude zusammen,139,41.8,985,689.5,2811,150083
Wohnheime,1,"– 3,3",1,3.3,20,50
Wohngebäude mit Eigentumswohnungen,6,"– 0,8",42,19.1,62,4819
Öffentliche Bauherren,3,19,257,131.3,572,31804
Unternehmen,52,21.7,647,461.3,1884,87934
Wohnungsunternehmen,38,22.9,629,438.5,1771,83266
Immobilienfonds,1,"– 1,2",1,1.2,6,34
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",13,"– 0,1",17,21.6,107,4634
Private Haushalte,83,1.1,81,96.6,354,29726
Organisationen ohne Erwerbszweck,1,–,–,0.4,1,619
Nichtwohngebäude,23,491.9,2,1,4,104395
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,50.8,–,–,–,11031
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,10,362.3,–,0.3,1,70407
Fabrik- und Werkstattgebäude,4,328.5,–,0.3,1,56442
Handelsgebäude,1,22.6,–,–,–,4972
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,3,6.2,–,–,–,8399
Sonstige Nichtwohngebäude,9,78.7,2,0.6,3,22957
Ausgewählte Infrastrukturgebäude,9,78.7,2,0.6,3,22957
Öffentliche Bauherren,4,63.2,–,–,–,22562
Unternehmen,12,408.2,–,–,–,76964
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,4,43,–,–,–,13412
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,9.5,–,–,–,1822
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",7,355.8,–,–,–,61730
Private Haushalte,3,3.9,–,0.3,1,976
Organisationen o. Erwerbszweck,4,16.5,2,0.6,3,3893
