type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,171,698,522.2,1512,925.6,3537,308348
1,0,residential_buildings,152,517,221.4,1512,925.6,3537,220893
2,1,residential_buildings_with_1_apartment,93,69,30.0,93,142.3,505,32276
3,1,residential_buildings_with_2_apartments,4,4,3.4,8,6.5,28,1940
4,1,residential_buildings_with_3_or_more_apartments,54,440,183.3,1384,770.3,2955,186147
5,1,dormitories,1,4,4.8,27,6.5,49,530
6,1,residential_buildings_with_condominium,22,96,30.8,203,178.8,622,40106
7,1,public_builders,3,94,54.1,227,139.0,562,41724
8,1,companies,62,312,117.9,1075,577.8,2209,128387
9,8,housing_companies,58,295,104.7,1009,538.2,2040,119660
10,8,real_estate_funds,1,10,5.3,29,19.8,69,6536
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,0,0,0.0,0,0.0,0,0
13,8,trade_banking_services_insurance_transport_and_communications,3,7,7.9,37,19.8,100,2191
14,1,private_households,87,111,49.4,210,208.7,766,50782
15,1,non_profit_organizations,0,0,0.0,0,0.0,0,0
16,0,non_residential_buildings,19,181,300.8,0,0.0,0,87455
17,16,institution_buildings,0,0,0.0,0,0.0,0,0
18,16,office_and_administration_buildings,6,49,100.3,0,0.0,0,25464
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,9,42,75.9,0,0.0,0,13605
21,20,factory_and_workshop_buildings,1,14,22.4,0,0.0,0,7750
22,20,commercial_buildings,1,11,19.2,0,0.0,0,4138
23,20,warehouse_buildings,3,7,12.8,0,0.0,0,560
24,20,hotels_and_restaurants,1,1,3.9,0,0.0,0,267
25,16,other_non_residential_buildings,4,90,124.6,0,0.0,0,48386
26,16,selected_infrastructure_buildings,5,103,147.0,0,0.0,0,56136
27,16,public_builders,2,78,101.0,0,0.0,0,41323
28,16,companies,14,80,153.4,0,0.0,0,35143
29,28,housing_companies,5,35,70.3,0,0.0,0,17381
30,28,real_estate_funds,0,0,0.0,0,0.0,0,0
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,2,5,8.7,0,0.0,0,464
33,28,trade_banking_services_insurance_transport_and_communications,7,40,74.3,0,0.0,0,17298
34,16,private_households,2,12,23.6,0,0.0,0,4139
35,16,non_profit_organisations,1,12,22.7,0,0.0,0,6850
