type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,301,543.0,1655,1098.1,4043,388190
1,0,residential_buildings,270,198.8,1653,1096,4040,277781
2,1,dormitories,2,5.3,26,5.9,46,532
3,1,residential_buildings_with_condominium,41,22.1,207,214.1,706,55108
4,1,public_builders,4,54.6,227,140,562,42370
5,1,companies,91,108.4,1106,629.9,2378,147424
6,5,housing_companies,79,100.7,1054,576.6,2191,130149
7,5,real_estate_funds,2,6.9,33,24,81,7531
8,5,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0,0,0
9,5,manufacturing_industry,0,0.0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,10,0.8,19,29.3,106,9744
11,1,private_households,170,36.0,281,295.1,990,78464
12,1,non_profit_organizations,5,-0.2,39,30.9,110,9523
13,0,non_residential_buildings,31,344.2,2,2.1,3,110409
14,13,institution_buildings,0,0.0,0,0,0,0
15,13,office_and_administration_buildings,11,139.5,3,4.4,10,41626
16,13,algricultural_buildings,0,0.0,0,0,0,0
17,13,non_algricultural_buildings,13,76.7,0,0,0,16235
18,17,factory_and_workshop_buildings,1,22.4,0,0,0,7750
19,17,commercial_buildings,1,19.2,0,0,0,4138
20,17,warehouse_buildings,5,12.1,0,0,0,2422
21,17,hotels_and_restaurants,3,5.4,0,0,0,1035
22,13,other_non_residential_buildings,7,128.0,-1,-2.3,-7,52548
23,13,selected_infrastructure_buildings,8,150.5,-1,-2.3,-7,60298
24,13,public_builders,3,105.0,-1,-2.3,-7,45264
25,13,companies,22,179.2,0,0,0,44492
26,25,housing_companies,6,79.9,0,0,0,21435
27,25,real_estate_funds,0,0.0,0,0,0,0
28,25,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0,0,0
29,25,manufacturing_industry,2,8.7,0,0,0,464
30,25,trade_banking_services_insurance_transport_and_communications,14,90.6,0,0,0,22593
31,13,private_households,4,35.8,3,4.4,10,13636
32,13,non_profit_organisations,2,24.1,0,0,0,7017
