type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,259,1114.3,1999,1366,5271,658136
Wohngebäude zusammen,218,116.8,2017,1390.2,5339,370621
Wohnheime,1,"– 9,2",105,9.2,105,1
Wohngebäude mit Eigentumswohnungen,31,53.9,241,235.9,801,75474
Öffentliche Bauherren,37,32.5,774,477.5,1886,112863
Unternehmen,98,65.1,1128,772.5,2957,213962
Wohnungsunternehmen,42,32.6,357,280.8,1024,88309
Immobilienfonds,46,7.5,663,390.7,1626,94400
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",10,25.1,108,101.1,307,31253
Private Haushalte,83,19.2,115,140.3,496,43796
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,41,997.5,– 18,"– 24,2",– 68,287515
Anstaltsgebäude,1,10.4,– 15,"– 10,4",– 15,40
Büro- und Verwaltungsgebäude,9,661.8,–,–,–,170607
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,13,137.3,– 3,"– 14,4",– 52,43118
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,3,45,–,–,–,7466
Warenlagergebäude,2,"– 2,3",–,–,–,7953
Hotels und Gaststätten,6,54.4,– 3,"– 14,4",– 52,16069
Sonstige Nichtwohngebäude,18,188.1,–,0.5,– 1,73750
Ausgewählte Infrastrukturgebäude,19,198.4,– 15,"– 9,9",– 16,73790
Öffentliche Bauherren,9,135.2,–,–,–,61319
Unternehmen,22,806.6,– 15,"– 10,4",– 15,210035
Wohnungsunternehmen,3,17.1,–,–,–,9919
Immobilienfonds,8,207.6,–,–,–,61964
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,19,– 15,"– 10,4",– 15,1240
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",9,562.9,–,–,–,136912
Private Haushalte,3,17.3,– 3,"– 14,4",– 52,712
Organisationen o. Erwerbszweck,7,38.4,–,0.5,– 1,15449
