type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,81,65.8,222,121.6,503,75916
Wohngebäude zusammen,68,"– 8,0",240,145.8,571,53524
Wohnheime,1,"– 9,2",105,9.2,105,1
Wohngebäude mit Eigentumswohnungen,13,"– 1,6",23,39,109,13868
Öffentliche Bauherren,2,"– 9,2",106,9.2,105,5
Unternehmen,28,7,115,103.7,382,40270
Wohnungsunternehmen,19,2.8,55,64.1,185,25176
Immobilienfonds,8,4.2,58,38.1,192,14641
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",1,–,2,1.6,5,453
Private Haushalte,38,"– 5,9",19,32.9,84,13249
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,13,73.8,– 18,"– 24,2",– 68,22392
Anstaltsgebäude,1,10.4,– 15,"– 10,4",– 15,40
Büro- und Verwaltungsgebäude,2,7.1,–,–,–,1650
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,5,39.7,– 3,"– 14,4",– 52,12202
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,1,18.6,–,–,–,551
Warenlagergebäude,1,"– 4,3",–,–,–,7788
Hotels und Gaststätten,3,25.4,– 3,"– 14,4",– 52,3863
Sonstige Nichtwohngebäude,5,16.6,–,0.5,– 1,8500
Ausgewählte Infrastrukturgebäude,6,27,– 15,"– 9,9",– 16,8540
Öffentliche Bauherren,1,1.9,–,–,–,1689
Unternehmen,8,54.3,– 15,"– 10,4",– 15,18962
Wohnungsunternehmen,1,"– 1,5",–,–,–,450
Immobilienfonds,2,17.2,–,–,–,6077
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,19,– 15,"– 10,4",– 15,1240
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,19.6,–,–,–,11195
Private Haushalte,1,14.4,– 3,"– 14,4",– 52,24
Organisationen o. Erwerbszweck,3,3.3,–,0.5,– 1,1717
