type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,77,35.2,51,39.7,199,42956
Wohngebäude zusammen,66,"– 21,6",74,70.8,271,36554
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,17,"– 7,0",27,23.7,87,17935
Öffentliche Bauherren,1,"– 0,1",2,0.4,1,724
Unternehmen,16,"– 9,1",40,35.9,127,15220
Wohnungsunternehmen,15,"– 7,9",39,34.8,123,14320
Immobilienfonds,1,"– 1,3",1,1.1,4,900
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",–,–,–,–,–,–
Private Haushalte,48,"– 12,3",28,34.7,136,20602
Organisationen ohne Erwerbszweck,1,–,4,"– 0,1",7,8
Nichtwohngebäude,11,56.8,– 23,"– 31,2",– 72,6402
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,1,34.4,– 20,"– 28,1",– 54,158
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,5,12.9,– 3,"– 1,3",– 8,2647
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,3,10.6,–,–,–,2453
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,1,"– 0,1",1,1.2,4,135
Sonstige Nichtwohngebäude,5,9.5,–,"– 1,8",– 10,3597
Ausgewählte Infrastrukturgebäude,5,9.5,–,"– 1,8",– 10,3597
Öffentliche Bauherren,2,4.1,– 4,"– 2,5",– 12,534
Unternehmen,6,46.7,– 19,"– 27,0",– 50,4420
Wohnungsunternehmen,1,34.4,– 20,"– 28,1",– 54,158
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,12.4,1,1.2,4,4262
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,3,6,–,"– 1,8",– 10,1448
