type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,73,10.8,66,80.2,252,111966
Wohngebäude zusammen,63,"– 32,4",65,79.4,249,53476
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,15,"– 12,8",27,25,83,18781
Öffentliche Bauherren,1,–,1,–,–,9800
Unternehmen,28,"– 29,6",53,54,150,35456
Wohnungsunternehmen,20,"– 23,3",40,41.8,122,31291
Immobilienfonds,3,"– 1,9",10,7.2,14,1606
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,–,–,0.2,1,40
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,"– 4,5",3,4.9,13,2519
Private Haushalte,33,"– 2,7",11,25.1,98,8195
Organisationen ohne Erwerbszweck,1,–,–,0.3,1,25
Nichtwohngebäude,10,43.1,1,0.7,3,58490
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,3,12.3,–,–,–,21851
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,6,27.9,1,0.7,3,29874
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,5,18.3,1,0.7,3,28922
Warenlagergebäude,1,9.5,–,–,–,952
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,1,2.9,–,–,–,6765
Ausgewählte Infrastrukturgebäude,2,4.7,–,–,–,6945
Öffentliche Bauherren,1,2.9,–,–,–,6765
Unternehmen,8,39,–,–,–,51460
Wohnungsunternehmen,1,"– 2,2",–,–,–,3517
Immobilienfonds,1,11.5,–,–,–,16000
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,3,–,–,–,2334
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,26.7,–,–,–,29609
Private Haushalte,1,1.2,1,0.7,3,265
Organisationen o. Erwerbszweck,–,–,–,–,–,–
