type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,188,846.4,951,727.9,2598,414068
Wohngebäude zusammen,159,82.9,950,727.2,2595,228347
Wohnheime,1,–,40,10.4,42,3573
Wohngebäude mit Eigentumswohnungen,40,20.5,346,302.7,1035,91585
Öffentliche Bauherren,21,0.2,21,16.6,80,12188
Unternehmen,72,73.5,795,586.4,2058,180405
Wohnungsunternehmen,60,77.3,770,562.3,1985,173088
Immobilienfonds,3,"– 1,9",10,7.2,14,1606
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,–,–,0.2,1,40
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",8,"– 1,9",15,16.8,58,5671
Private Haushalte,64,9.2,94,113.4,414,32156
Organisationen ohne Erwerbszweck,2,–,40,10.7,43,3598
Nichtwohngebäude,29,763.5,1,0.7,3,185721
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,7,139.5,–,–,–,41351
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,17,522.9,1,0.7,3,88522
Fabrik- und Werkstattgebäude,1,1.3,–,–,–,331
Handelsgebäude,5,18.3,1,0.7,3,28922
Warenlagergebäude,7,458.1,–,–,–,57099
Hotels und Gaststätten,1,23.8,–,–,–,860
Sonstige Nichtwohngebäude,5,101.1,–,–,–,55848
Ausgewählte Infrastrukturgebäude,6,102.9,–,–,–,56028
Öffentliche Bauherren,3,84.6,–,–,–,48989
Unternehmen,22,660,–,–,–,129277
Wohnungsunternehmen,4,28.1,–,–,–,5587
Immobilienfonds,7,460.5,–,–,–,78941
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,23.8,–,–,–,6166
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",9,147.6,–,–,–,38583
Private Haushalte,2,2.5,1,0.7,3,596
Organisationen o. Erwerbszweck,2,16.4,–,–,–,6859
