type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,115,1044,835.6,885,647.7,2346,302102
Wohngebäude zusammen,96,333,115.2,885,647.7,2346,174871
Wohngebäude mit 1 Wohnung,43,26,6.9,43,49.1,198,11792
Wohngebäude mit 2 Wohnungen,8,10,4.6,16,21.2,88,7175
Wohngebäude mit 3 o. m. Wohnungen,44,293,103.8,786,567.1,2018,152331
Wohnheime,1,4,–,40,10.4,42,3573
Wohngebäude mit Eigentumswohnungen,25,143,33.3,319,277.7,952,72804
Öffentliche Bauherren,20,9,0.2,20,16.6,80,2388
Unternehmen,44,277,103.1,742,532.4,1908,144949
Wohnungsunternehmen,40,271,100.5,730,520.6,1863,141797
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,6,2.6,12,11.9,45,3152
Private Haushalte,31,43,11.9,83,88.3,316,23961
Organisationen ohne Erwerbszweck,1,4,–,40,10.4,42,3573
Nichtwohngebäude,19,711,720.4,–,–,–,127231
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,105,127.2,–,–,–,19500
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,11,545,495,–,–,–,58648
Fabrik- und Werkstattgebäude,1,1,1.3,–,–,–,331
Handelsgebäude,–,–,–,–,–,–,–
Warenlagergebäude,6,528,448.5,–,–,–,56147
Hotels und Gaststätten,1,9,23.8,–,–,–,860
Sonstige Nichtwohngebäude,4,61,98.1,–,–,–,49083
Ausgewählte Infrastrukturgebäude,4,61,98.1,–,–,–,49083
Öffentliche Bauherren,2,56,81.7,–,–,–,42224
Unternehmen,14,649,621,–,–,–,77817
Wohnungsunternehmen,3,13,30.3,–,–,–,2070
Immobilienfonds,6,529,449,–,–,–,62941
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,1,17,20.8,–,–,–,3832
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,91,120.9,–,–,–,8974
Private Haushalte,1,1,1.3,–,–,–,331
Organisationen o. Erwerbszweck,2,5,16.4,–,–,–,6859
