type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,259,1114.3,1999,1366,5271,658136
1,0,residential_buildings,218,116.8,2017,1390.2,5339,370621
2,1,dormitories,1,-9.2,105,9.2,105,1
3,1,residential_buildings_with_condominium,31,53.9,241,235.9,801,75474
4,1,public_builders,37,32.5,774,477.5,1886,112863
5,1,companies,98,65.1,1128,772.5,2957,213962
6,5,housing_companies,42,32.6,357,280.8,1024,88309
7,5,real_estate_funds,46,7.5,663,390.7,1626,94400
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,10,25.1,108,101.1,307,31253
11,1,private_households,83,19.2,115,140.3,496,43796
12,1,non_profit_organizations,0,0,0,0,0,0
13,0,non_residential_buildings,41,997.5,-18,-24.2,-68,287515
14,13,institution_buildings,1,10.4,-15,-10.4,-15,40
15,13,office_and_administration_buildings,9,661.8,0,0,0,170607
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,13,137.3,-3,-14.4,-52,43118
18,17,factory_and_workshop_buildings,0,0,0,0,0,0
19,17,commercial_buildings,3,45,0,0,0,7466
20,17,warehouse_buildings,2,-2.3,0,0,0,7953
21,17,hotels_and_restaurants,6,54.4,-3,-14.4,-52,16069
22,13,other_non_residential_buildings,18,188.1,0,0.5,-1,73750
23,13,selected_infrastructure_buildings,19,198.4,-15,-9.9,-16,73790
24,13,public_builders,9,135.2,0,0,0,61319
25,13,companies,22,806.6,-15,-10.4,-15,210035
26,25,housing_companies,3,17.1,0,0,0,9919
27,25,real_estate_funds,8,207.6,0,0,0,61964
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,2,19,-15,-10.4,-15,1240
30,25,trade_banking_services_insurance_transport_and_communications,9,562.9,0,0,0,136912
31,13,private_households,3,17.3,-3,-14.4,-52,712
32,13,non_profit_organisations,7,38.4,0,0.5,-1,15449
