type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,178,1136,1048.5,1777,1244.4,4768,582220
1,0,residential_buildings,150,646,124.8,1777,1244.4,4768,317097
2,1,residential_buildings_with_1_apartment,50,37,13.1,50,71.8,265,18848
3,1,residential_buildings_with_2_apartments,4,4,0.9,8,8.3,33,1850
4,1,residential_buildings_with_3_or_more_apartments,96,605,110.9,1719,1164.3,4470,296399
5,1,dormitories,0,0,0.0,0,0.0,0,0
6,1,residential_buildings_with_condominium,18,103,55.5,218,196.9,692,61606
7,1,public_builders,35,218,41.6,668,468.3,1781,112858
8,1,companies,70,372,58.1,1013,668.8,2575,173692
9,8,housing_companies,23,109,29.8,302,216.7,839,63133
10,8,real_estate_funds,38,211,3.2,605,352.6,1434,79759
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,0,0,0.0,0,0.0,0,0
13,8,trade_banking_services_insurance_transport_and_communications,9,52,25.1,106,99.5,302,30800
14,1,private_households,45,56,25.1,96,107.3,412,30547
15,1,non_profit_organizations,0,0,0.0,0,0.0,0,0
16,0,non_residential_buildings,28,490,923.7,0,0.0,0,265123
17,16,institution_buildings,0,0,0.0,0,0.0,0,0
18,16,office_and_administration_buildings,7,336,654.6,0,0.0,0,168957
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,8,53,97.6,0,0.0,0,30916
21,20,factory_and_workshop_buildings,0,0,0.0,0,0.0,0,0
22,20,commercial_buildings,2,16,26.4,0,0.0,0,6915
23,20,warehouse_buildings,1,1,2.0,0,0.0,0,165
24,20,hotels_and_restaurants,3,15,29.0,0,0.0,0,12206
25,16,other_non_residential_buildings,13,101,171.5,0,0.0,0,65250
26,16,selected_infrastructure_buildings,13,101,171.5,0,0.0,0,65250
27,16,public_builders,8,87,133.3,0,0.0,0,59630
28,16,companies,14,383,752.3,0,0.0,0,191073
29,28,housing_companies,2,9,18.6,0,0.0,0,9469
30,28,real_estate_funds,6,91,190.4,0,0.0,0,55887
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,0,0,0.0,0,0.0,0,0
33,28,trade_banking_services_insurance_transport_and_communications,6,283,543.3,0,0.0,0,125717
34,16,private_households,2,1,3.0,0,0.0,0,688
35,16,non_profit_organisations,4,18,35.1,0,0.0,0,13732
