type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,81,65.8,222,121.6,503,75916
1,0,residential_buildings,68,"– 8,0",240,145.8,571,53524
2,1,dormitories,1,"– 9,2",105,9.2,105,1
3,1,residential_buildings_with_condominium,13,"– 1,6",23,39,109,13868
4,1,public_builders,2,"– 9,2",106,9.2,105,5
5,1,companies,28,7,115,103.7,382,40270
6,5,housing_companies,19,2.8,55,64.1,185,25176
7,5,real_estate_funds,8,4.2,58,38.1,192,14641
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,1,0,2,1.6,5,453
11,1,private_households,38,"– 5,9",19,32.9,84,13249
12,1,non_profit_organizations,0,0,0,0,0,0
13,0,non_residential_buildings,13,73.8,– 18,"– 24,2",– 68,22392
14,13,institution_buildings,1,10.4,– 15,"– 10,4",– 15,40
15,13,office_and_administration_buildings,2,7.1,0,0,0,1650
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,5,39.7,– 3,"– 14,4",– 52,12202
18,17,factory_and_workshop_buildings,0,0,0,0,0,0
19,17,commercial_buildings,1,18.6,0,0,0,551
20,17,warehouse_buildings,1,"– 4,3",0,0,0,7788
21,17,hotels_and_restaurants,3,25.4,– 3,"– 14,4",– 52,3863
22,13,other_non_residential_buildings,5,16.6,0,0.5,– 1,8500
23,13,selected_infrastructure_buildings,6,27,– 15,"– 9,9",– 16,8540
24,13,public_builders,1,1.9,0,0,0,1689
25,13,companies,8,54.3,– 15,"– 10,4",– 15,18962
26,25,housing_companies,1,"– 1,5",0,0,0,450
27,25,real_estate_funds,2,17.2,0,0,0,6077
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,2,19,– 15,"– 10,4",– 15,1240
30,25,trade_banking_services_insurance_transport_and_communications,3,19.6,0,0,0,11195
31,13,private_households,1,14.4,– 3,"– 14,4",– 52,24
32,13,non_profit_organisations,3,3.3,0,0.5,– 1,1717
