type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,87,156.1,96,108.2,344,58081
1,0,residential_buildings,77,1.8,97,108.9,347,37487
2,1,dormitories,0,0,0,0,0,0
3,1,residential_buildings_with_condominium,18,12.5,22,24.7,73,11310
4,1,public_builders,1,0.1,-3,-0.1,0,1058
5,1,companies,31,-8.5,74,69.3,222,23849
6,5,housing_companies,21,-6.8,61,59.8,193,19398
7,5,real_estate_funds,4,-0.7,6,4.7,10,3080
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,6,-0.9,7,4.8,19,1371
11,1,private_households,43,10.1,23,35.2,103,11594
12,1,non_profit_organizations,2,0,3,4.6,22,986
13,0,non_residential_buildings,10,154.4,-1,-0.8,-3,20594
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,4,21.2,0,0,0,13453
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,4,124.8,0,0,0,5865
18,17,factory_and_workshop_buildings,1,1.1,0,0,0,224
19,17,commercial_buildings,1,3,0,0,0,2740
20,17,warehouse_buildings,2,120.8,0,0,0,2901
21,17,hotels_and_restaurants,0,0,0,0,0,0
22,13,other_non_residential_buildings,2,8.3,-1,-0.8,-3,1276
23,13,selected_infrastructure_buildings,2,8.3,-1,-0.8,-3,1276
24,13,public_builders,0,0,0,0,0,0
25,13,companies,7,144.2,0,0,0,18940
26,25,housing_companies,0,0,0,0,0,0
27,25,real_estate_funds,2,5.2,0,0,0,9148
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,2,3.7,0,0,0,684
30,25,trade_banking_services_insurance_transport_and_communications,3,135.4,0,0,0,9108
31,13,private_households,0,0,0,0,0,0
32,13,non_profit_organisations,3,10.2,-1,-0.8,-3,1654
