type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,111,532,536.2,989,694.0,2786,287195
1,0,residential_buildings,97,334,176.5,987,691.4,2773,193688
2,1,residential_buildings_with_1_apartment,48,33,15.3,48,64.5,255,16519
3,1,residential_buildings_with_2_apartments,3,3,1.0,6,7.5,26,1084
4,1,residential_buildings_with_3_or_more_apartments,45,294,157.3,931,617.3,2482,173585
5,1,dormitories,1,3,2.9,2,2.1,10,2500
6,1,residential_buildings_with_condominium,11,70,26.9,131,130.1,411,49970
7,1,public_builders,25,182,107.4,685,414.4,1759,95286
8,1,companies,20,99,42.7,207,170.6,629,70596
9,8,housing_companies,17,92,42.0,186,156.0,563,66939
10,8,real_estate_funds,1,2,0.0,8,4.6,16,1021
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,0,0,0.0,0,0.0,0,0
13,8,trade_banking_services_insurance_transport_and_communications,2,5,0.7,13,9.9,50,2636
14,1,private_households,52,53,26.5,95,106.4,385,27806
15,1,non_profit_organizations,0,0,0.0,0,0.0,0,0
16,0,non_residential_buildings,14,198,359.7,2,2.6,13,93507
17,16,institution_buildings,0,0,0.0,0,0.0,0,0
18,16,office_and_administration_buildings,2,22,46.0,0,0.0,0,16858
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,2,67,147.0,0,0.0,0,13498
21,20,factory_and_workshop_buildings,0,0,0.0,0,0.0,0,0
22,20,commercial_buildings,0,0,0.0,0,0.0,0,0
23,20,warehouse_buildings,0,0,0.0,0,0.0,0,0
24,20,hotels_and_restaurants,0,0,0.0,0,0.0,0,0
25,16,other_non_residential_buildings,10,109,166.7,2,2.6,13,63151
26,16,selected_infrastructure_buildings,10,109,166.7,2,2.6,13,63151
27,16,public_builders,7,104,179.2,0,0.0,0,56925
28,16,companies,3,76,148.1,0,0.0,0,27176
29,28,housing_companies,0,0,0.0,0,0.0,0,0
30,28,real_estate_funds,0,0,0.0,0,0.0,0,0
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,1,54,102.1,0,0.0,0,10318
33,28,trade_banking_services_insurance_transport_and_communications,2,22,46.0,0,0.0,0,16858
34,16,private_households,0,0,0.0,0,0.0,0,0
35,16,non_profit_organisations,4,18,32.4,2,2.6,13,9406
