type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,198,692.4,1085,802.1,3130,345276
1,0,residential_buildings,174,178.3,1084,800.3,3120,231175
2,1,dormitories,1,2.9,2,2.1,10,2500
3,1,residential_buildings_with_condominium,29,39.4,153,154.8,484,61280
4,1,public_builders,26,107.5,682,414.3,1759,96344
5,1,companies,51,34.2,281,239.8,851,94445
6,5,housing_companies,38,35.1,247,215.8,756,86337
7,5,real_estate_funds,5,"– 0,7",14,9.4,26,4101
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0.0,0,0
9,5,manufacturing_industry,0,0,0,0.0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,8,"– 0,2",20,14.6,69,4007
11,1,private_households,95,36.6,118,141.6,488,39400
12,1,non_profit_organizations,2,0,3,4.6,22,986
13,0,non_residential_buildings,24,514,1,1.8,10,114101
14,13,institution_buildings,0,0,0,0.0,0,0
15,13,office_and_administration_buildings,6,67.3,0,0.0,0,30311
16,13,algricultural_buildings,0,0,0,0.0,0,0
17,13,non_algricultural_buildings,6,271.8,0,0.0,0,19363
18,17,factory_and_workshop_buildings,1,1.1,0,0.0,0,224
19,17,commercial_buildings,1,3,0,0.0,0,2740
20,17,warehouse_buildings,2,120.8,0,0.0,0,2901
21,17,hotels_and_restaurants,0,0,0,0.0,0,0
22,13,other_non_residential_buildings,12,175,1,1.8,10,64427
23,13,selected_infrastructure_buildings,12,175,1,1.8,10,64427
24,13,public_builders,7,179.2,0,0.0,0,56925
25,13,companies,10,292.3,0,0.0,0,46116
26,25,housing_companies,0,0,0,0.0,0,0
27,25,real_estate_funds,2,5.2,0,0.0,0,9148
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0.0,0,0
29,25,manufacturing_industry,3,105.8,0,0.0,0,11002
30,25,trade_banking_services_insurance_transport_and_communications,5,181.4,0,0.0,0,25966
31,13,private_households,0,0,0,0.0,0,0
32,13,non_profit_organisations,7,42.5,1,1.8,10,11060
