type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,169,1209,981.2,2670,1406.1,5878,463758
1,0,residential_buildings,147,779,274.6,2277,1325.2,5449,305351
2,1,residential_buildings_with_1_apartment,58,49,23.3,58,88.4,320,21947
3,1,residential_buildings_with_2_apartments,8,9,5.0,16,16.9,70,3257
4,1,residential_buildings_with_3_or_more_apartments,80,718,246.3,2187,1209.8,5027,279927
5,1,dormitories,1,3,0.0,16,10.1,32,220
6,1,residential_buildings_with_condominium,27,178,52.2,456,353.3,1281,75704
7,1,public_builders,30,233,62.3,807,449.8,1963,108889
8,1,companies,50,341,121.8,1154,643.0,2547,142317
9,8,housing_companies,36,253,98.0,890,474.0,1904,109495
10,8,real_estate_funds,0,0,0.0,0,0.0,0,0
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,5,20,4.7,41,39.6,202,8112
13,8,trade_banking_services_insurance_transport_and_communications,9,68,19.1,223,129.4,441,24710
14,1,private_households,58,56,25.0,91,104.0,389,24317
15,1,non_profit_organizations,9,149,65.6,225,128.3,550,29828
16,0,non_residential_buildings,22,430,706.5,393,81.0,429,158407
17,16,institution_buildings,0,0,0.0,0,0.0,0,0
18,16,office_and_administration_buildings,2,116,122.5,375,73.7,403,65457
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,12,142,364.2,0,0.0,0,30183
21,20,factory_and_workshop_buildings,1,15,28.2,0,0.0,0,4022
22,20,commercial_buildings,2,28,47.4,0,0.0,0,4931
23,20,warehouse_buildings,4,29,80.2,0,0.0,0,4349
24,20,hotels_and_restaurants,0,0,0.0,0,0.0,0,0
25,16,other_non_residential_buildings,8,172,219.8,18,7.3,26,62767
26,16,selected_infrastructure_buildings,9,173,221.6,18,7.3,26,63771
27,16,public_builders,9,328,497.8,393,81.0,429,131377
28,16,companies,10,96,193.6,0,0.0,0,25081
29,28,housing_companies,1,8,7.9,0,0.0,0,3553
30,28,real_estate_funds,0,0,0.0,0,0.0,0,0
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,3,17,31.5,0,0.0,0,4433
33,28,trade_banking_services_insurance_transport_and_communications,6,72,154.1,0,0.0,0,17095
34,16,private_households,1,1,2.6,0,0.0,0,190
35,16,non_profit_organisations,2,5,12.6,0,0.0,0,1759
