type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,242,988.0,2750,1487.3,6152,559726
1,0,residential_buildings,211,276.6,2353,1402.2,5707,337376
2,1,dormitories,1,0.0,16,10.1,32,220
3,1,residential_buildings_with_condominium,40,52.1,470,374.6,1348,81336
4,1,public_builders,30,62.3,807,449.8,1963,108889
5,1,companies,66,120.6,1183,673.5,2645,153860
6,5,housing_companies,45,97.0,905,495.3,1969,115816
7,5,real_estate_funds,4,1.6,12,7.0,25,4401
8,5,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
9,5,manufacturing_industry,5,4.7,41,39.6,202,8112
10,5,trade_banking_services_insurance_transport_and_communications,12,17.3,225,131.7,449,25531
11,1,private_households,104,27.8,112,129.7,472,34895
12,1,non_profit_organizations,11,66.0,251,149.1,627,39732
13,0,non_residential_buildings,31,711.4,397,85.2,445,222350
14,13,institution_buildings,0,0.0,0,0.0,0,0
15,13,office_and_administration_buildings,6,114.6,376,75.0,409,125085
16,13,algricultural_buildings,0,0.0,0,0.0,0,0
17,13,non_algricultural_buildings,14,375.0,3,2.9,10,31327
18,17,factory_and_workshop_buildings,1,28.2,0,0.0,0,4022
19,17,commercial_buildings,2,47.4,0,0.0,0,4931
20,17,warehouse_buildings,5,87.1,0,0.0,0,4469
21,17,hotels_and_restaurants,1,3.8,3,2.9,10,1024
22,13,other_non_residential_buildings,11,221.8,18,7.3,26,65938
23,13,selected_infrastructure_buildings,11,222.3,18,7.3,26,66762
24,13,public_builders,11,498.5,393,81.0,429,134368
25,13,companies,16,199.0,3,2.9,10,85810
26,25,housing_companies,2,11.8,3,2.9,10,4577
27,25,real_estate_funds,0,0.0,0,0.0,0,0
28,25,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
29,25,manufacturing_industry,3,31.5,0,0.0,0,4433
30,25,trade_banking_services_insurance_transport_and_communications,11,155.7,0,0.0,0,76800
31,13,private_households,1,2.6,0,0.0,0,190
32,13,non_profit_organisations,3,11.4,1,1.3,6,1982
