type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,155,917,1284,1422,824.3,3327,381177
Wohngebäude zusammen,130,441,212.6,1383,795.8,3236,220625
Wohngebäude mit 1 Wohnung,74,51,22.2,74,101.1,379,24330
Wohngebäude mit 2 Wohnungen,3,2,0.7,6,3.8,19,992
Wohngebäude mit 3 o. m. Wohnungen,52,383,189.2,1291,678.4,2814,193114
Wohnheime,1,6,0.5,12,12.5,24,2189
Wohngebäude mit Eigentumswohnungen,15,84,53.3,222,170.5,669,44829
Öffentliche Bauherren,2,92,24.7,530,143.6,800,50000
Unternehmen,56,258,130.9,654,491.2,1836,131797
Wohnungsunternehmen,48,247,128.1,634,471,1764,127528
Immobilienfonds,1,2,0.8,4,3.5,11,919
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,3,6,0.1,12,12.2,49,2342
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,2,1.8,4,4.4,12,1008
Private Haushalte,71,85,56.5,187,148.5,576,36639
Organisationen ohne Erwerbszweck,1,6,0.5,12,12.5,24,2189
Nichtwohngebäude,25,475,1071.4,39,28.5,91,160552
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,8,72,136.5,–,–,–,31037
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,12,289,779.8,39,28.5,91,76389
Fabrik- und Werkstattgebäude,1,7,12.5,–,–,–,4183
Handelsgebäude,3,116,214.1,38,28.1,89,50415
Warenlagergebäude,5,22,26.9,1,0.4,2,2473
Hotels und Gaststätten,1,0,1,–,–,–,211
Sonstige Nichtwohngebäude,5,114,155.1,–,–,–,53126
Ausgewählte Infrastrukturgebäude,5,114,155.1,–,–,–,53126
Öffentliche Bauherren,5,116,158.2,–,–,–,54250
Unternehmen,16,352,898.5,38,28.1,89,102145
Wohnungsunternehmen,2,34,59.8,38,28.1,89,26000
Immobilienfonds,1,88,163.5,–,–,–,29155
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,2,22,30.8,–,–,–,4689
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",11,208,644.4,–,–,–,42301
Private Haushalte,2,1,2.5,1,0.4,2,531
Organisationen o. Erwerbszweck,2,6,12.3,–,–,–,3626
