type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,142,423,384,872,470,1938,233104
Wohngebäude zusammen,125,246,65.3,870,466.5,1927,118322
Wohngebäude mit 1 Wohnung,86,47,10.9,86,96.2,347,21739
Wohngebäude mit 2 Wohnungen,5,7,3.8,10,10.8,41,3052
Wohngebäude mit 3 o. m. Wohnungen,34,192,50.6,774,359.5,1539,93531
Wohnheime,–,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,17,114,26.8,562,218.4,979,57215
Öffentliche Bauherren,5,17,7.5,46,30.7,126,6961
Unternehmen,82,186,35.8,754,362.7,1521,86177
Wohnungsunternehmen,66,147,27.9,660,291.1,1235,72415
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,10,5,1.2,10,10.8,46,2090
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,34,6.7,84,60.8,240,11672
Private Haushalte,37,33,15.7,53,61.4,233,18362
Organisationen ohne Erwerbszweck,1,9,6.3,17,11.7,47,6822
Nichtwohngebäude,17,177,318.7,2,3.5,11,114782
Anstaltsgebäude,1,34,48.6,–,–,–,20515
Büro- und Verwaltungsgebäude,2,20,46.8,2,3.5,11,18876
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,10,77,154.4,–,–,–,55620
Fabrik- und Werkstattgebäude,3,37,46.3,–,–,–,45993
Handelsgebäude,–,–,–,–,–,–,–
Warenlagergebäude,2,2,6.5,–,–,–,157
Hotels und Gaststätten,1,11,31.1,–,–,–,4450
Sonstige Nichtwohngebäude,4,47,69,–,–,–,19771
Ausgewählte Infrastrukturgebäude,5,81,117.6,–,–,–,40286
Öffentliche Bauherren,3,43,40,–,–,–,52719
Unternehmen,12,123,265,2,3.5,11,58693
Wohnungsunternehmen,2,18,41.9,–,–,–,10325
Immobilienfonds,4,55,144.3,–,–,–,15350
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,2,3,6.4,–,–,–,1322
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,47,72.5,2,3.5,11,31696
Private Haushalte,1,1,1.9,–,–,–,210
Organisationen o. Erwerbszweck,1,10,11.9,–,–,–,3160
