type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,85,32.5,105,81.9,312,70417
Wohngebäude zusammen,76,"– 3,0",104,81.3,309,47366
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,18,"– 1,1",33,7.9,68,23549
Öffentliche Bauherren,9,"– 0,3",17,10.8,49,2035
Unternehmen,20,"– 2,4",50,23,121,29074
Wohnungsunternehmen,15,"– 0,2",21,31.2,86,25786
Immobilienfonds,2,0.1,2,1,5,451
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,"– 2,3",27,"–9,3",30,2837
Private Haushalte,47,"– 0,3",37,47.5,139,16257
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,9,35.4,1,0.6,3,23051
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,20.3,–,–,–,9110
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,6,13.7,1,0.6,3,13441
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,3,3,–,–,–,2935
Warenlagergebäude,2,8.9,1,0.6,3,10494
Hotels und Gaststätten,1,1.9,–,–,–,12
Sonstige Nichtwohngebäude,1,1.5,–,–,–,500
Ausgewählte Infrastrukturgebäude,1,1.5,–,–,–,500
Öffentliche Bauherren,1,2.8,–,–,–,1050
Unternehmen,6,31.8,–,–,–,21348
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,2,11.3,–,–,–,10353
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,20.5,–,–,–,10995
Private Haushalte,1,"– 0,6",1,0.6,3,153
Organisationen o. Erwerbszweck,1,1.5,–,–,–,500
