type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,227,416.4,977,551.8,2250,303521
Wohngebäude zusammen,201,62.3,974,547.8,2236,165688
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,35,25.7,595,226.3,1047,80764
Öffentliche Bauherren,14,7.2,63,41.5,175,8996
Unternehmen,102,33.4,804,385.7,1642,115251
Wohnungsunternehmen,81,27.6,681,322.4,1321,98201
Immobilienfonds,2,0.1,2,1,5,451
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,10,1.2,10,10.8,46,2090
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",9,4.4,111,51.5,270,14509
Private Haushalte,84,15.5,90,108.9,372,34619
Organisationen ohne Erwerbszweck,1,6.3,17,11.7,47,6822
Nichtwohngebäude,26,354.1,3,4,14,137833
Anstaltsgebäude,1,48.6,–,–,–,20515
Büro- und Verwaltungsgebäude,4,67,2,3.5,11,27986
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,16,168.1,1,0.6,3,69061
Fabrik- und Werkstattgebäude,3,46.3,–,–,–,45993
Handelsgebäude,3,3,–,–,–,2935
Warenlagergebäude,4,15.3,1,0.6,3,10651
Hotels und Gaststätten,2,32.9,–,–,–,4462
Sonstige Nichtwohngebäude,5,70.4,–,–,–,20271
Ausgewählte Infrastrukturgebäude,6,119.1,–,–,–,40786
Öffentliche Bauherren,4,42.7,–,–,–,53769
Unternehmen,18,296.7,2,3.5,11,80041
Wohnungsunternehmen,2,41.9,–,–,–,10325
Immobilienfonds,6,155.5,–,–,–,25703
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,6.4,–,–,–,1322
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",8,93,2,3.5,11,42691
Private Haushalte,2,1.3,1,0.6,3,363
Organisationen o. Erwerbszweck,2,13.4,–,–,–,3660
