type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,164,754,843.1,1200,815.7,3158,327787
Wohngebäude zusammen,146,438,193.8,1188,811.4,3144,171496
Wohngebäude mit 1 Wohnung,87,69,31.7,87,131.5,506,35783
Wohngebäude mit 2 Wohnungen,5,5,1,10,9.8,43,2042
Wohngebäude mit 3 o. m. Wohnungen,52,342,159.8,900,620.1,2376,124144
Wohnheime,2,22,1.3,191,50,219,9527
Wohngebäude mit Eigentumswohnungen,10,49,16.5,88,90.9,374,22778
Öffentliche Bauherren,1,20,1.3,165,41,187,9420
Unternehmen,58,331,149.5,891,606.7,2318,117915
Wohnungsunternehmen,32,158,55.4,404,289.2,1061,59301
Immobilienfonds,1,0,–,1,1.2,5,535
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,17,122,82.2,341,222.7,891,37838
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",8,50,12,145,93.6,361,20241
Private Haushalte,87,88,42.9,132,163.7,639,44161
Organisationen ohne Erwerbszweck,–,–,–,–,–,–,–
Nichtwohngebäude,18,316,649.4,12,4.3,14,156291
Anstaltsgebäude,1,15,64,–,–,–,14390
Büro- und Verwaltungsgebäude,5,175,383.2,–,–,–,71146
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,3,15,24.4,–,–,–,6604
Fabrik- und Werkstattgebäude,1,3,4.2,–,–,–,2380
Handelsgebäude,1,11,17.5,–,–,–,4129
Warenlagergebäude,1,1,2.6,–,–,–,95
Hotels und Gaststätten,–,–,–,–,–,–,–
Sonstige Nichtwohngebäude,9,111,177.8,12,4.3,14,64151
Ausgewählte Infrastrukturgebäude,11,129,246,12,4.3,14,80921
Öffentliche Bauherren,6,90,130.3,12,4.3,14,52921
Unternehmen,12,226,519.1,–,–,–,103370
Wohnungsunternehmen,5,36,77.3,–,–,–,10021
Immobilienfonds,1,140,309.5,–,–,–,61556
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,2,4,6.9,–,–,–,2475
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,46,125.4,–,–,–,29318
Private Haushalte,–,–,–,–,–,–,–
Organisationen o. Erwerbszweck,–,–,–,–,–,–,–
