type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,256,879.2,1297,933.2,3507,434256
Wohngebäude zusammen,229,183.7,1282,928.3,3493,205568
Wohnheime,2,1.3,191,50,219,9527
Wohngebäude mit Eigentumswohnungen,30,8.7,123,146.3,489,41041
Öffentliche Bauherren,4,"– 0,6",168,42.9,196,9461
Unternehmen,76,136.1,923,658.8,2449,135553
Wohnungsunternehmen,41,45.4,416,309.2,1112,63612
Immobilienfonds,4,-1.1,6,8.5,28,3784
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,19,79.1,343,226.6,902,38299
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",12,12.7,158,114.5,407,29858
Private Haushalte,148,48.2,185,222.6,830,59299
Organisationen ohne Erwerbszweck,1,–,6,4,18,1255
Nichtwohngebäude,27,695.5,15,4.9,14,228688
Anstaltsgebäude,1,64,–,–,–,14390
Büro- und Verwaltungsgebäude,7,397.8,–,–,–,75733
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,8,52.8,4,1.2,4,70903
Fabrik- und Werkstattgebäude,1,4.2,–,–,–,2380
Handelsgebäude,5,60.2,4,1.2,4,38398
Warenlagergebäude,1,2.6,–,–,–,95
Hotels und Gaststätten,1,"– 14,3",–,–,–,30030
Sonstige Nichtwohngebäude,11,180.9,11,3.7,10,67662
Ausgewählte Infrastrukturgebäude,13,249.1,11,3.7,10,84432
Öffentliche Bauherren,7,130.9,11,3.7,10,56424
Unternehmen,19,562.1,4,1.2,4,172256
Wohnungsunternehmen,5,77.3,–,–,–,10021
Immobilienfonds,1,309.5,–,–,–,61556
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,6.9,–,–,–,2475
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",11,168.4,4,1.2,4,98204
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,1,2.5,–,–,–,8
