type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,92,36.1,97,117.5,349,106469
Wohngebäude zusammen,83,-10,94,116.9,349,34072
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,20,"– 7,8",35,55.4,115,18263
Öffentliche Bauherren,3,-1.9,3,1.9,9,41
Unternehmen,18,-13.4,32,52.1,131,17638
Wohnungsunternehmen,9,-10,12,20,51,4311
Immobilienfonds,3,-1.1,5,7.3,23,3249
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,-3.1,2,4,11,461
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,0.8,13,20.9,46,9617
Private Haushalte,61,5.3,53,58.9,191,15138
Organisationen ohne Erwerbszweck,1,–,6,4,18,1255
Nichtwohngebäude,9,46.1,3,0.6,–,72397
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,14.6,–,–,–,4587
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,5,28.4,4,1.2,4,64299
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,4,42.7,4,1.2,4,34269
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,1,-14.3,–,–,–,30030
Sonstige Nichtwohngebäude,2,3.1,-1,-0.6,-4,3511
Ausgewählte Infrastrukturgebäude,2,3.1,– 1,"– 0,6",– 4,3511
Öffentliche Bauherren,1,0.6,– 1,"– 0,6",– 4,3503
Unternehmen,7,43,4,1.2,4,68886
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",7,43,4,1.2,4,68886
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,1,2.5,–,–,–,8
