type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,95,57.1,104,130.4,408,106047
1,0,residential_buildings,85,"– 2,0",103,130.1,408,69722
2,1,dormitories,0,0,0,0,0,0
3,1,residential_buildings_with_condominium,24,"– 9,9",37,50.6,137,21018
4,1,public_builders,0,0,0,0,0,0
5,1,companies,35,3.8,76,90.1,273,44390
6,5,housing_companies,24,19.8,62,61.7,203,40251
7,5,real_estate_funds,6,"– 12,4",13,18.7,47,2004
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,5,"– 3,7",1,9.7,23,2135
11,1,private_households,49,"– 2,8",26,37.2,129,25155
12,1,non_profit_organizations,1,"– 3,0",1,2.8,6,177
13,0,non_residential_buildings,10,59,1,0.3,0,36325
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,3,13,0,0,0,13881
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,5,40.8,1,0.3,0,16781
18,17,factory_and_workshop_buildings,1,0.7,– 1,"– 0,7",– 2,13566
19,17,commercial_buildings,1,"– 1,0",2,1,2,51
20,17,warehouse_buildings,2,42.2,0,0,0,3064
21,17,hotels_and_restaurants,1,"– 1,1",0,0,0,100
22,13,other_non_residential_buildings,2,5.3,0,0,0,5663
23,13,selected_infrastructure_buildings,2,5.3,0,0,0,5663
24,13,public_builders,2,1.9,0,0,0,8884
25,13,companies,6,55.9,– 1,"– 0,7",– 2,26033
26,25,housing_companies,0,0,0,0,0,0
27,25,real_estate_funds,2,14.1,0,0,0,9303
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,1,0.7,– 1,"– 0,7",– 2,13566
30,25,trade_banking_services_insurance_transport_and_communications,3,41,0,0,0,3164
31,13,private_households,1,"– 1,0",2,1,2,51
32,13,non_profit_organisations,1,2.3,0,0,0,1357
