type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,Wohn-und Nichtwohngebäude,212,2037,2814.2,2039,1359.8,5327,1030792
1,0,residential_buildings,171,642,224.7,1938,1300.2,5144,296103
2,1,residential_buildings_with_1_apartment,88,69,40.8,88,133.6,506,33933
3,1,residential_buildings_with_2_apartments,5,5,1.9,10,10.3,43,2213
4,1,residential_buildings_with_3_or_more_apartments,73,528,165.2,1545,1084.4,4197,235827
5,1,dormitories,5,39,16.8,295,71.9,398,24130
6,1,residential_buildings_with_condominium,18,116,65.1,284,244.7,851,69979
7,1,public_builders,15,216,90.6,831,431.0,1853,128600
8,1,companies,81,355,95.3,986,736.9,2800,133760
9,8,housing_companies,71,320,85.6,885,669.9,2540,117898
10,8,real_estate_funds,5,25,9.4,66,45.2,192,12813
11,8,Land-und Forstw.. Tierh.. Fischerei,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,0,0,0.0,0,0.0,0,0
13,8,trade_banking_services_insurance_transport_and_communications,5,10,0.4,35,21.8,68,3049
14,1,private_households,75,71,38.8,121,132.3,491,33743
15,1,non_profit_organizations,0,0,0.0,0,0.0,0,0
16,0,non_residential_buildings,41,1395,2589.6,101,59.6,183,734689
17,16,institution_buildings,2,40,78.6,0,0.0,0,27874
18,16,Büro-und Verwaltungsgebäude,21,962,1886.3,101,59.6,183,585175
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,11,297,484.7,0,0.0,0,58978
21,20,Fabrik-und Werkstattgebäude,2,45,78.6,0,0.0,0,20117
22,20,commercial_buildings,3,15,24.2,0,0.0,0,4494
23,20,warehouse_buildings,3,161,221.8,0,0.0,0,15080
24,20,hotels_and_restaurants,1,37,82.8,0,0.0,0,14298
25,16,other_non_residential_buildings,7,96,140.0,0,0.0,0,62662
26,16,selected_infrastructure_buildings,9,136,218.7,0,0.0,0,90536
27,16,public_builders,2,62,97.3,0,0.0,0,44026
28,16,companies,33,1273,2400.5,101,59.6,183,651035
29,28,housing_companies,5,234,422.2,101,59.6,183,186725
30,28,real_estate_funds,9,381,651.2,0,0.0,0,139949
31,28,Land-und Forstw.. Tierh.. Fischerei,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,1,1,1.3,0,0.0,0,1490
33,28,trade_banking_services_insurance_transport_and_communications,18,658,1325.7,0,0.0,0,322871
34,16,private_households,0,0,0.0,0,0.0,0,0
35,16,non_profit_organisations,6,60,91.8,0,0.0,0,39628
