type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,307,2871.3,2143,1490.2,5735,1136839
1,0,residential_buildings,256,222.7,2041,1430.3,5552,365825
2,1,dormitories,5,16.8,295,71.9,398,24130
3,1,residential_buildings_with_condominium,42,55.2,321,295.3,988,90997
4,1,public_builders,15,90.6,831,431,1853,128600
5,1,companies,116,99.1,1062,827,3073,178150
6,5,housing_companies,95,105.4,947,731.6,2743,158149
7,5,real_estate_funds,11,"– 3,0",79,63.9,239,14817
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,10,"– 3,3",36,31.5,91,5184
11,1,private_households,124,36.1,147,169.5,620,58898
12,1,non_profit_organizations,1,"– 3,0",1,2.8,6,177
13,0,non_residential_buildings,51,2648.6,102,59.9,183,771014
14,13,institution_buildings,2,78.6,0,0,0,27874
15,13,office_and_administration_buildings,24,1899.3,101,59.6,183,599056
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,16,525.4,1,0.3,0,75759
18,17,factory_and_workshop_buildings,3,79.3,– 1,"– 0,7",– 2,33683
19,17,commercial_buildings,4,23.2,2,1,2,4545
20,17,warehouse_buildings,5,263.9,0,0,0,18144
21,17,hotels_and_restaurants,2,81.7,0,0,0,14398
22,13,other_non_residential_buildings,9,145.3,0,0,0,68325
23,13,selected_infrastructure_buildings,11,223.9,0,0,0,96199
24,13,public_builders,4,99.2,0,0,0,52910
25,13,companies,39,2456.3,100,58.9,181,677068
26,25,housing_companies,5,422.2,101,59.6,183,186725
27,25,real_estate_funds,11,665.3,0,0,0,149252
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,2,2.1,– 1,"– 0,7",– 2,15056
30,25,trade_banking_services_insurance_transport_and_communications,21,1366.8,0,0,0,326035
31,13,private_households,1,"– 1,0",2,1,2,51
32,13,non_profit_organisations,7,94.1,0,0,0,40985
