type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,332,1305.4,2169,1527.2,5757,775511
Wohngebäude zusammen,298,278,2139,1506.7,5679,416568
Wohnheime,6,38.2,124,71.3,349,27110
Wohngebäude mit Eigentumswohnungen,57,95.7,477,398,1474,122337
Öffentliche Bauherren,3,2.8,96,37.7,110,9807
Unternehmen,169,249.5,1886,1288.2,4931,350171
Wohnungsunternehmen,142,203.5,1539,1065.1,4048,296906
Immobilienfonds,2,–,15,9.6,38,2898
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,16,23.1,209,122.2,514,25524
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",9,23,123,91.4,331,24843
Private Haushalte,120,21.6,128,156.6,515,38308
Organisationen ohne Erwerbszweck,6,4,29,24.2,123,18282
Nichtwohngebäude,34,1027.5,30,20.5,78,358943
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,7,476.3,13,3.7,13,132846
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,16,498.6,2,0.1,–,106446
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,1,-45.2,–,–,–,6415
Warenlagergebäude,11,227.6,–,–,–,20240
Hotels und Gaststätten,2,182.8,2,0.1,–,33325
Sonstige Nichtwohngebäude,11,52.6,15,16.7,65,119651
Ausgewählte Infrastrukturgebäude,11,52.6,15,16.7,65,119651
Öffentliche Bauherren,9,247.8,-3,-4.8,-11,107523
Unternehmen,22,752.9,19,12.3,49,238607
Wohnungsunternehmen,7,407.3,17,12.2,49,125796
Immobilienfonds,2,-45.2,2,0.1,–,7740
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,3,23,–,–,–,14780
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",10,367.9,–,–,–,90291
Private Haushalte,1,16.8,14,13,40,8315
Organisationen o. Erwerbszweck,2,10,–,–,–,4498
