type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,104,23.7,62,117.5,319,194351
Wohngebäude zusammen,90,-5.6,46,110,281,45827
Wohnheime,3,14.9,-15,23.4,120,11315
Wohngebäude mit Eigentumswohnungen,19,-16.5,29,37.7,64,18387
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,16,-11.7,15,27,39,16378
Wohnungsunternehmen,13,-7.5,8,22.1,20,14890
Immobilienfonds,1,–,1,0.3,1,60
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,-4.2,6,4.5,18,1428
Private Haushalte,72,6.2,51,77.8,188,18176
Organisationen ohne Erwerbszweck,2,-0.1,-20,5.2,54,11273
Nichtwohngebäude,14,29.3,16,7.5,38,148524
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,48.7,13,3.7,13,33946
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,2,-45.2,2,0.1,–,7740
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,1,-45.2,–,–,–,6415
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,1,–,2,0.1,–,1325
Sonstige Nichtwohngebäude,8,25.8,1,3.8,25,106838
Ausgewählte Infrastrukturgebäude,8,25.8,1,3.8,25,106838
Öffentliche Bauherren,7,54,-3,-4.8,-11,91840
Unternehmen,7,-24.6,19,12.3,49,56684
Wohnungsunternehmen,4,-0.2,17,12.2,49,34414
Immobilienfonds,2,-45.2,2,0.1,–,7740
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,20.8,–,–,–,14530
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",–,–,–,–,–,–
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,–,–,–,–,–,–
