type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,228,1342,1281.7,2107,1409.7,5438,581160
Wohngebäude zusammen,208,727,283.6,2093,1396.8,5398,370741
Wohngebäude mit 1 Wohnung,99,57,19.7,99,116.5,571,31173
Wohngebäude mit 2 Wohnungen,2,2,0.4,4,3.2,16,532
Wohngebäude mit 3 o. m. Wohnungen,104,640,240.1,1851,1229.1,4582,323241
Wohnheime,3,29,23.3,139,47.9,229,15795
Wohngebäude mit Eigentumswohnungen,38,192,112.1,448,360.3,1410,103950
Öffentliche Bauherren,3,19,2.8,96,37.7,110,9807
Unternehmen,153,656,261.2,1871,1261.3,4892,333793
Wohnungsunternehmen,129,530,211,1531,1043,4028,282016
Immobilienfonds,1,5,–,14,9.3,37,2838
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,16,79,23.1,209,122.2,514,25524
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",7,42,27.1,117,86.9,313,23415
Private Haushalte,48,41,15.5,77,78.8,327,20132
Organisationen ohne Erwerbszweck,4,11,4.1,49,19,69,7009
Nichtwohngebäude,20,616,998.1,14,13,40,210419
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,3,203,427.6,–,–,–,98900
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,14,397,543.8,–,–,–,98706
Fabrik- und Werkstattgebäude,–,–,–,–,–,–,–
Handelsgebäude,–,–,–,–,–,–,–
Warenlagergebäude,11,272,227.6,–,–,–,20240
Hotels und Gaststätten,1,53,182.8,–,–,–,32000
Sonstige Nichtwohngebäude,3,15,26.8,14,13,40,12813
Ausgewählte Infrastrukturgebäude,3,15,26.8,14,13,40,12813
Öffentliche Bauherren,2,242,193.8,–,–,–,15683
Unternehmen,15,358,777.5,–,–,–,181923
Wohnungsunternehmen,3,169,407.5,–,–,–,91382
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,2,1,2.2,–,–,–,250
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",10,189,367.9,–,–,–,90291
Private Haushalte,1,12,16.8,14,13,40,8315
Organisationen o. Erwerbszweck,2,4,10,–,–,–,4498
