type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,113,"– 17,9",5,70.9,115,74187
Wohngebäude zusammen,107,"– 6,1",95,101.2,295,53038
Wohnheime,2,"– 0,6",– 19,0.9,–14,975
Wohngebäude mit Eigentumswohnungen,25,"– 1,9",19,31.6,63,11095
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,33,"– 5,2",65,58,202,29235
Wohnungsunternehmen,18,6.7,34,29.1,88,20600
Immobilienfonds,9,"–6,7",38,21.2,97,6713
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,"– 5,2",– 7,7.7,17,1922
Private Haushalte,73,"– 0,3",28,42.3,89,22917
Organisationen ohne Erwerbszweck,1,"– 0,6",2,0.9,4,886
Nichtwohngebäude,6,"– 11,8",– 90,"– 30,4",– 180,21149
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,40.7,– 90,"– 30,4",– 180,247
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,2,"– 8,9",–,–,–,464
Fabrik- und Werkstattgebäude,1,"– 2,8",–,–,–,404
Handelsgebäude,1,"– 6,1",–,–,–,60
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,2,"– 43,5",–,–,–,20438
Ausgewählte Infrastrukturgebäude,2,"– 43,5",–,–,–,20438
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,4,"– 7,4",– 90,"– 30,4",– 180,19407
Wohnungsunternehmen,1,10.3,–,–,–,12
Immobilienfonds,1,"– 6,1",–,–,–,60
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,"– 42,0",–,–,–,19100
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",1,30.4,– 90,"– 30,4",– 180,235
Private Haushalte,1,"– 2,8",–,–,–,404
Organisationen o. Erwerbszweck,1,"– 1,5",–,–,–,1338
