type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,226,706.8,869,691.2,2441,496544
Wohngebäude zusammen,201,100.7,957,719.5,2616,246477
Wohnheime,2,"– 0,6",– 19,0.9,– 14,975
Wohngebäude mit Eigentumswohnungen,43,46.6,456,353,1296,98239
Öffentliche Bauherren,2,1.4,88,44.3,151,10229
Unternehmen,78,68.5,783,544,2066,177242
Wohnungsunternehmen,44,67.8,681,457.7,1749,160244
Immobilienfonds,10,"– 4,7",70,38,158,10045
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",24,5.4,32,48.4,159,6953
Private Haushalte,120,31.4,84,130.3,395,58120
Organisationen ohne Erwerbszweck,1,"– 0,6",2,0.9,4,886
Nichtwohngebäude,25,606,– 88,"– 28,4",– 175,250067
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,166.7,– 90,"– 30,4",– 180,33890
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,11,374.3,–,–,–,149413
Fabrik- und Werkstattgebäude,5,297.7,–,–,–,139267
Handelsgebäude,1,"– 6,1",–,–,–,60
Warenlagergebäude,3,45.3,–,–,–,4859
Hotels und Gaststätten,1,7.9,–,–,–,2410
Sonstige Nichtwohngebäude,10,65,2,2,5,66764
Ausgewählte Infrastrukturgebäude,10,65,2,2,5,66764
Öffentliche Bauherren,6,92.6,–,–,–,39428
Unternehmen,13,477.8,– 90,"– 30,4",– 180,197259
Wohnungsunternehmen,3,75.6,–,–,–,12364
Immobilienfonds,2,28.6,–,–,–,3060
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,3,139.3,–,–,–,69030
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,234.3,– 90,"– 30,4",– 180,112805
Private Haushalte,4,29.2,2,2,5,9632
Organisationen o. Erwerbszweck,2,6.4,–,–,–,3748
