type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,100,89.4,42,77.5,252,85260
1,0,residential_buildings,87,-2.4,54,86.6,261,40088
2,1,dormitories,0,0,0,0,0,0
3,1,residential_buildings_with_condominium,14,-1.7,8,20.2,59,8655
4,1,public_builders,0,0,0,0,0,0
5,1,companies,27,-0.6,34,40.5,158,21483
6,5,housing_companies,17,-3.8,7,20.1,54,5458
7,5,real_estate_funds,5,4.5,12,10.2,37,5156
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,1,0,0,0.1,1,54
10,5,trade_banking_services_insurance_transport_and_communications,4,-1.4,15,10.1,66,10815
11,1,private_households,59,-1.8,26,40.9,129,16508
12,1,non_profit_organizations,1,0,-6,5.2,-26,2097
13,0,non_residential_buildings,13,91.7,-12,-9.1,-9,45172
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,4,-0.2,2,1.8,8,8938
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,7,83.1,-2,-1.7,-8,36039
18,17,factory_and_workshop_buildings,3,74.5,0,0,0,33348
19,17,commercial_buildings,1,2.1,0,0,0,440
20,17,warehouse_buildings,1,2.3,0,0,0,1516
21,17,hotels_and_restaurants,1,3.1,-1,-0.6,-3,696
22,13,other_non_residential_buildings,2,8.9,-12,-9.2,-9,195
23,13,selected_infrastructure_buildings,2,8.9,-12,-9.2,-9,195
24,13,public_builders,0,0,0,0,0,0
25,13,companies,10,85.3,-13,-10.3,-14,43666
26,25,housing_companies,2,8.5,-12,-9.2,-9,755
27,25,real_estate_funds,1,2.3,0,0,0,1516
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,2,14.3,0,0,0,31563
30,25,trade_banking_services_insurance_transport_and_communications,5,60.2,-1,-1.1,-5,9832
31,13,private_households,2,4.1,1,1.2,5,1436
32,13,non_profit_organisations,1,2.4,0,0,0,70
