type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,249,591.3,1030,772.1,2745,362285
1,0,residential_buildings,219,78.1,1042,781.2,2754,203351
2,1,dormitories,0,0.0,0,0,0,0
3,1,residential_buildings_with_condominium,39,30.9,263,253.9,804,68710
4,1,public_builders,6,9.8,430,170.5,651,36989
5,1,companies,79,39.5,425,397.8,1340,109897
6,5,housing_companies,62,29.3,387,359.7,1169,88775
7,5,real_estate_funds,7,6.5,14,18,63,7751
8,5,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0,0,0
9,5,manufacturing_industry,1,0.0,0,0.1,1,54
10,5,trade_banking_services_insurance_transport_and_communications,9,3.8,24,19.9,107,13317
11,1,private_households,133,28.9,193,207.7,789,54368
12,1,non_profit_organizations,1,0.0,-6,5.2,-26,2097
13,0,non_residential_buildings,30,513.2,-12,-9.1,-9,158934
14,13,institution_buildings,1,7.1,0,0,0,2140
15,13,office_and_administration_buildings,9,258.7,2,1.8,8,79182
16,13,algricultural_buildings,0,0.0,0,0,0,0
17,13,non_algricultural_buildings,14,154.3,-2,-1.7,-8,41117
18,17,factory_and_workshop_buildings,6,80.7,0,0,0,34722
19,17,commercial_buildings,1,2.1,0,0,0,440
20,17,warehouse_buildings,3,9.4,0,0,0,1807
21,17,hotels_and_restaurants,1,3.1,-1,-0.6,-3,696
22,13,other_non_residential_buildings,6,93.1,-12,-9.2,-9,36495
23,13,selected_infrastructure_buildings,7,101.7,-12,-9.2,-9,37827
24,13,public_builders,1,2.0,0,0,0,1046
25,13,companies,22,488.8,-13,-10.3,-14,151472
26,25,housing_companies,4,112.0,-12,-9.2,-9,19560
27,25,real_estate_funds,2,46.3,0,0,0,15499
28,25,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0,0,0
29,25,manufacturing_industry,5,21.0,0,0,0,33001
30,25,trade_banking_services_insurance_transport_and_communications,11,309.4,-1,-1.1,-5,83412
31,13,private_households,4,5.6,1,1.2,5,1474
32,13,non_profit_organisations,3,16.9,0,0,0,4942
