type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,73,-32.9,98,80.4,296,100451
1,0,residential_buildings,63,-18.3,100,81.6,303,31582
2,1,dormitories,1,-10.0,63,14.7,100,4677
3,1,residential_buildings_with_condominium,17,0.7,7,29.6,48,12796
4,1,public_builders,0,0.0,0,0.0,0,0
5,1,companies,18,-11.8,82,40.5,200,18467
6,5,housing_companies,12,-10.1,80,23.5,169,13126
7,5,real_estate_funds,4,0.5,1,14.8,27,4380
8,5,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
9,5,manufacturing_industry,0,0.0,0,0.0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,2,-2.2,1,2.2,4,961
11,1,private_households,41,-5.3,16,36.6,85,11797
12,1,non_profit_organizations,4,-1.3,2,4.5,18,1318
13,0,non_residential_buildings,10,-14.6,-2,-1.2,-7,68869
14,13,institution_buildings,1,1.9,0,0.0,0,4611
15,13,office_and_administration_buildings,1,3.2,0,0.0,0,1012
16,13,algricultural_buildings,0,0.0,0,0.0,0,0
17,13,non_algricultural_buildings,7,-21.7,-1,0.8,1,63241
18,17,factory_and_workshop_buildings,2,28.2,0,0.0,0,56384
19,17,commercial_buildings,3,-42.6,-1,0.8,1,1395
20,17,warehouse_buildings,1,-4.6,0,0.0,0,300
21,17,hotels_and_restaurants,1,-2.7,0,0.0,0,5162
22,13,other_non_residential_buildings,1,2.0,-1,-2.0,-8,5
23,13,selected_infrastructure_buildings,2,3.9,-1,-2.0,-8,4616
24,13,public_builders,2,22.2,0,0.0,0,56560
25,13,companies,6,-39.9,-1,-2.0,-8,10457
26,25,housing_companies,1,-2.7,0,0.0,0,5162
27,25,real_estate_funds,1,-25.5,0,0.0,0,275
28,25,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
29,25,manufacturing_industry,2,-15.6,0,0.0,0,404
30,25,trade_banking_services_insurance_transport_and_communications,2,3.9,-1,-2.0,-8,4616
31,13,private_households,2,3.1,-1,0.8,1,1852
32,13,non_profit_organisations,0,0.0,0,0.0,0,0
