type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,203,1148,1408.5,1223,755.0,3032,541711
1,0,residential_buildings,180,378,141.4,1223,755.0,3032,158577
2,1,residential_buildings_with_1_apartment,133,98,39.8,133,196.2,715,37375
3,1,residential_buildings_with_2_apartments,4,4,1.4,8,7.7,33,1673
4,1,residential_buildings_with_3_or_more_apartments,43,276,100.2,1082,551.1,2284,119529
5,1,dormitories,0,0,0.0,0,0.0,0,0
6,1,residential_buildings_with_condominium,12,66,20.2,196,125.7,540,27476
7,1,public_builders,21,132,54.2,413,268.3,1043,59440
8,1,companies,74,130,40.9,533,264.5,1093,48198
9,8,housing_companies,53,106,33.5,512,221.6,946,41534
10,8,real_estate_funds,0,0,0.0,0,0.0,0,0
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,0,0,0.0,0,0.0,0,0
13,8,trade_banking_services_insurance_transport_and_communications,21,23,7.3,21,42.9,147,6664
14,1,private_households,85,117,46.3,277,222.2,896,50939
15,1,non_profit_organizations,0,0,0.0,0,0.0,0,0
16,0,non_residential_buildings,23,769,1267.1,0,0.0,0,383134
17,16,institution_buildings,0,0,0.0,0,0.0,0,0
18,16,office_and_administration_buildings,7,372,657.0,0,0.0,0,191015
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,7,107,202.5,0,0.0,0,37074
21,20,factory_and_workshop_buildings,2,9,10.4,0,0.0,0,908
22,20,commercial_buildings,1,11,15.6,0,0.0,0,1684
23,20,warehouse_buildings,0,0,0.0,0,0.0,0,0
24,20,hotels_and_restaurants,2,64,96.3,0,0.0,0,30449
25,16,other_non_residential_buildings,9,290,407.7,0,0.0,0,155045
26,16,selected_infrastructure_buildings,9,290,407.7,0,0.0,0,155045
27,16,public_builders,7,155,207.4,0,0.0,0,88469
28,16,companies,14,576,1017.8,0,0.0,0,293206
29,28,housing_companies,2,35,64.4,0,0.0,0,17506
30,28,real_estate_funds,1,58,108.7,0,0.0,0,45740
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,0,0,0.0,0,0.0,0,0
33,28,trade_banking_services_insurance_transport_and_communications,11,483,844.7,0,0.0,0,229960
34,16,private_households,1,30,29.0,0,0.0,0,1240
35,16,non_profit_organisations,1,7,13.0,0,0.0,0,219
