type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,276,1375.6,1321,835.4,3328,642162
1,0,residential_buildings,243,123.1,1323,836.6,3335,190159
2,1,dormitories,1,-10.0,63,14.7,100,4677
3,1,residential_buildings_with_condominium,29,20.9,203,155.3,588,40272
4,1,public_builders,21,54.2,413,268.3,1043,59440
5,1,companies,92,29.1,615,305.0,1293,66665
6,5,housing_companies,65,23.5,592,245.1,1115,54660
7,5,real_estate_funds,4,0.5,1,14.8,27,4380
8,5,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
9,5,manufacturing_industry,0,0.0,0,0.0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,23,5.1,22,45.1,151,7625
11,1,private_households,126,41.1,293,258.8,981,62736
12,1,non_profit_organizations,4,-1.3,2,4.5,18,1318
13,0,non_residential_buildings,33,1252.5,-2,-1.2,-7,452003
14,13,institution_buildings,1,1.9,0,0.0,0,4611
15,13,office_and_administration_buildings,8,660.2,0,0.0,0,192027
16,13,algricultural_buildings,0,0.0,0,0.0,0,0
17,13,non_algricultural_buildings,14,180.8,-1,0.8,1,100315
18,17,factory_and_workshop_buildings,4,38.6,0,0.0,0,57292
19,17,commercial_buildings,4,-27.0,-1,0.8,1,3079
20,17,warehouse_buildings,1,-4.6,0,0.0,0,300
21,17,hotels_and_restaurants,3,93.7,0,0.0,0,35611
22,13,other_non_residential_buildings,10,409.7,-1,-2.0,-8,155050
23,13,selected_infrastructure_buildings,11,411.6,-1,-2.0,-8,159661
24,13,public_builders,9,229.6,0,0.0,0,145029
25,13,companies,20,977.9,-1,-2.0,-8,303663
26,25,housing_companies,3,61.7,0,0.0,0,22668
27,25,real_estate_funds,2,83.2,0,0.0,0,46015
28,25,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
29,25,manufacturing_industry,2,-15.6,0,0.0,0,404
30,25,trade_banking_services_insurance_transport_and_communications,13,848.6,-1,-2.0,-8,234576
31,13,private_households,3,32.1,-1,0.8,1,3092
32,13,non_profit_organisations,1,13.0,0,0.0,0,219
