type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,198,692.4,1085,802.1,3130,345276
Wohngebäude zusammen,174,178.3,1084,800.3,3120,231175
Wohnheime,1,2.9,2,2.1,10,2500
Wohngebäude mit Eigentumswohnungen,29,39.4,153,154.8,484,61280
Öffentliche Bauherren,26,107.5,682,414.3,1759,96344
Unternehmen,51,34.2,281,239.8,851,94445
Wohnungsunternehmen,38,35.1,247,215.8,756,86337
Immobilienfonds,5,"– 0,7",14,9.4,26,4101
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",8,"– 0,2",20,14.6,69,4007
Private Haushalte,95,36.6,118,141.6,488,39400
Organisationen ohne Erwerbszweck,2,–,3,4.6,22,986
Nichtwohngebäude,24,514,1,1.8,10,114101
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,6,67.3,–,–,–,30311
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,6,271.8,–,–,–,19363
Fabrik- und Werkstattgebäude,1,1.1,–,–,–,224
Handelsgebäude,1,3,–,–,–,2740
Warenlagergebäude,2,120.8,–,–,–,2901
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,12,175,1,1.8,10,64427
Ausgewählte Infrastrukturgebäude,12,175,1,1.8,10,64427
Öffentliche Bauherren,7,179.2,–,–,–,56925
Unternehmen,10,292.3,–,–,–,46116
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,2,5.2,–,–,–,9148
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,3,105.8,–,–,–,11002
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,181.4,–,–,–,25966
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,7,42.5,1,1.8,10,11060
