type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,87,156.1,96,108.2,344,58081
Wohngebäude zusammen,77,1.8,97,108.9,347,37487
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,18,12.5,22,24.7,73,11310
Öffentliche Bauherren,1,0.1,– 3,"– 0,1",–,1058
Unternehmen,31,"– 8,5",74,69.3,222,23849
Wohnungsunternehmen,21,"– 6,8",61,59.8,193,19398
Immobilienfonds,4,"– 0,7",6,4.7,10,3080
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,"– 0,9",7,4.8,19,1371
Private Haushalte,43,10.1,23,35.2,103,11594
Organisationen ohne Erwerbszweck,2,–,3,4.6,22,986
Nichtwohngebäude,10,154.4,– 1,"– 0,8",– 3,20594
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,21.2,–,–,–,13453
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,4,124.8,–,–,–,5865
Fabrik- und Werkstattgebäude,1,1.1,–,–,–,224
Handelsgebäude,1,3,–,–,–,2740
Warenlagergebäude,2,120.8,–,–,–,2901
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,2,8.3,– 1,"– 0,8",– 3,1276
Ausgewählte Infrastrukturgebäude,2,8.3,– 1,"– 0,8",– 3,1276
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,7,144.2,–,–,–,18940
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,2,5.2,–,–,–,9148
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,3.7,–,–,–,684
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,135.4,–,–,–,9108
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,3,10.2,– 1,"– 0,8",– 3,1654
