type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,111,532,536.2,989,694,2786,287195
Wohngebäude zusammen,97,334,176.5,987,691.4,2773,193688
Wohngebäude mit 1 Wohnung,48,33,15.3,48,64.5,255,16519
Wohngebäude mit 2 Wohnungen,3,3,1,6,7.5,26,1084
Wohngebäude mit 3 o. m. Wohnungen,45,294,157.3,931,617.3,2482,173585
Wohnheime,1,3,2.9,2,2.1,10,2500
Wohngebäude mit Eigentumswohnungen,11,70,26.9,131,130.1,411,49970
Öffentliche Bauherren,25,182,107.4,685,414.4,1759,95286
Unternehmen,20,99,42.7,207,170.6,629,70596
Wohnungsunternehmen,17,92,42,186,156,563,66939
Immobilienfonds,1,2,–,8,4.6,16,1021
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,5,0.7,13,9.9,50,2636
Private Haushalte,52,53,26.5,95,106.4,385,27806
Organisationen ohne Erwerbszweck,–,–,–,–,–,–,–
Nichtwohngebäude,14,198,359.7,2,2.6,13,93507
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,22,46,–,–,–,16858
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,2,67,147,–,–,–,13498
Fabrik- und Werkstattgebäude,–,–,–,–,–,–,–
Handelsgebäude,–,–,–,–,–,–,–
Warenlagergebäude,–,–,–,–,–,–,–
Hotels und Gaststätten,–,–,–,–,–,–,–
Sonstige Nichtwohngebäude,10,109,166.7,2,2.6,13,63151
Ausgewählte Infrastrukturgebäude,10,109,166.7,2,2.6,13,63151
Öffentliche Bauherren,7,104,179.2,–,–,–,56925
Unternehmen,3,76,148.1,–,–,–,27176
Wohnungsunternehmen,–,–,–,–,–,–,–
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,1,54,102.1,–,–,–,10318
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,22,46,–,–,–,16858
Private Haushalte,–,–,–,–,–,–,–
Organisationen o. Erwerbszweck,4,18,32.4,2,2.6,13,9406
