type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,115,"– 18,5",296,115.9,723,119337
1,0,residential_buildings,104,"– 40,2",295,115,722,47012
2,1,dormitories,1,"– 3,7",34,3.7,34,154
3,1,residential_buildings_with_condominium,17,"– 7,8",16,17.2,40,9791
4,1,public_builders,15,0,150,18.5,360,2925
5,1,companies,36,"– 29,2",121,52.5,273,27148
6,5,housing_companies,24,"– 25,2",41,19.1,129,18709
7,5,real_estate_funds,6,"– 0,8",16,17.8,60,4986
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,6,"– 3,3",64,15.7,84,3453
11,1,private_households,53,"– 11,0",24,44,89,16939
12,1,non_profit_organizations,0,0,0,0,0,0
13,0,non_residential_buildings,11,21.7,1,0.9,1,72325
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,0,0,0,0,0,0
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,5,13.8,2,1.6,4,30815
18,17,factory_and_workshop_buildings,2,6.2,2,1.6,4,3499
19,17,commercial_buildings,0,0,0,0,0,0
20,17,warehouse_buildings,1,2.8,0,0,0,790
21,17,hotels_and_restaurants,2,4.8,0,0,0,26526
22,13,other_non_residential_buildings,6,7.9,– 1,"– 0,7",– 3,41510
23,13,selected_infrastructure_buildings,7,10.6,– 1,"– 0,7",– 3,42040
24,13,public_builders,2,5.5,0,0,0,35497
25,13,companies,6,11.7,2,1.6,4,30851
26,25,housing_companies,2,6.6,2,1.6,4,16196
27,25,real_estate_funds,0,0,0,0,0,0
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,1,2.7,0,0,0,530
30,25,trade_banking_services_insurance_transport_and_communications,3,2.5,0,0,0,14125
31,13,private_households,1,2.3,0,0,0,284
32,13,non_profit_organisations,2,2.2,– 1,"– 0,7",– 3,5693
