type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,132,784.9,704,507.4,1781,665020
Wohngebäude zusammen,106,"– 19,0",702,502.1,1763,147359
Wohnheime,1,"– 45,9",120,45,120,19903
Wohngebäude mit Eigentumswohnungen,18,5.6,135,121,395,45229
Öffentliche Bauherren,1,0.6,25,24,50,6987
Unternehmen,41,"– 31,8",591,389.3,1399,111764
Wohnungsunternehmen,32,9.1,421,310.8,1141,79067
Immobilienfonds,3,"– 45,8",127,49.8,137,23343
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,2.4,5,5.4,16,1487
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,2.5,38,23.4,105,7867
Private Haushalte,64,12.2,86,88.8,314,28608
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,26,803.9,2,5.3,18,517661
Anstaltsgebäude,1,298,–,–,–,388708
Büro- und Verwaltungsgebäude,2,2.9,1,2.7,7,2876
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,16,442.2,1,1.4,5,63897
Fabrik- und Werkstattgebäude,4,39.2,–,–,–,5016
Handelsgebäude,1,3.1,–,–,–,1178
Warenlagergebäude,8,145.3,1,1.4,5,17945
Hotels und Gaststätten,1,101.9,–,–,–,22168
Sonstige Nichtwohngebäude,7,60.8,–,1.2,6,62180
Ausgewählte Infrastrukturgebäude,9,373.4,–,1.2,6,455388
Öffentliche Bauherren,4,367.1,–,–,–,450059
Unternehmen,17,430.6,1,3.9,13,63549
Wohnungsunternehmen,3,246.6,1,2.7,7,36638
Immobilienfonds,1,"– 3,7",–,–,–,1496
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,3,38.1,–,–,–,4667
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",10,149.5,–,1.2,6,20748
Private Haushalte,1,"– 1,4",1,1.4,5,50
Organisationen o. Erwerbszweck,4,7.7,–,–,–,4003
