type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,55,"– 49,5",198,103.7,340,48567
Wohngebäude zusammen,48,"– 56,6",197,101,329,41382
Wohnheime,1,"– 45,9",120,45,120,19903
Wohngebäude mit Eigentumswohnungen,12,"– 8,5",17,17.9,40,8639
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,19,"– 54,5",172,84.8,252,34088
Wohnungsunternehmen,14,"– 8,6",45,34.8,115,10634
Immobilienfonds,3,"– 45,8",127,49.8,137,23343
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,–,–,0.1,–,111
Private Haushalte,29,"– 2,1",25,16.2,77,7294
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,7,7.1,1,2.7,11,7185
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,1,"– 3,7",–,–,–,1496
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,3,8.7,1,1.4,5,1318
Fabrik- und Werkstattgebäude,1,7,–,–,–,90
Handelsgebäude,1,3.1,–,–,–,1178
Warenlagergebäude,1,"– 1,4",1,1.4,5,50
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,3,2.1,–,1.2,6,4371
Ausgewählte Infrastrukturgebäude,3,2.1,–,1.2,6,4371
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,5,6.3,–,1.2,6,4210
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,1,"– 3,7",–,–,–,1496
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,7,–,–,–,90
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,2.9,–,1.2,6,2624
Private Haushalte,1,"– 1,4",1,1.4,5,50
Organisationen o. Erwerbszweck,1,2.2,–,–,–,2925
