type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,228,293.4,1035,610.5,2574,303625
Wohngebäude zusammen,202,62.1,1033,608.3,2570,171183
Wohnheime,1,"– 3,7",34,3.7,34,154
Wohngebäude mit Eigentumswohnungen,32,22.3,394,223.1,797,57316
Öffentliche Bauherren,15,–,150,18.5,360,2925
Unternehmen,73,47.8,769,433.4,1672,123416
Wohnungsunternehmen,46,15.5,528,301.1,1168,86929
Immobilienfonds,8,3.7,25,29.2,88,9090
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,0.1,1,1.7,5,362
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",18,28.5,215,101.5,411,27035
Private Haushalte,114,14.4,114,156.4,538,44842
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,26,231.3,2,2.2,4,132442
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,127.4,–,–,–,33445
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,9,37,2,1.6,4,37326
Fabrik- und Werkstattgebäude,3,8,2,1.6,4,7213
Handelsgebäude,–,–,–,–,–,–
Warenlagergebäude,2,12.9,–,–,–,950
Hotels und Gaststätten,2,4.8,–,–,–,26526
Sonstige Nichtwohngebäude,13,66.9,–,0.7,–,61671
Ausgewählte Infrastrukturgebäude,15,71.4,–,0.7,–,65915
Öffentliche Bauherren,8,40.2,–,–,–,51809
Unternehmen,10,155.4,2,1.6,4,65884
Wohnungsunternehmen,4,76.5,2,1.6,4,34620
Immobilienfonds,1,63.7,–,–,–,16449
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,12.7,–,–,–,690
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,2.5,–,–,–,14125
Private Haushalte,2,4,–,–,–,692
Organisationen o. Erwerbszweck,6,31.7,–,0.7,–,14057
