type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,115,"– 18,5",296,115.9,723,119337
Wohngebäude zusammen,104,"– 40,2",295,115,722,47012
Wohnheime,1,"– 3,7",34,3.7,34,154
Wohngebäude mit Eigentumswohnungen,17,"– 7,8",16,17.2,40,9791
Öffentliche Bauherren,15,–,150,18.5,360,2925
Unternehmen,36,"– 29,2",121,52.5,273,27148
Wohnungsunternehmen,24,"– 25,2",41,19.1,129,18709
Immobilienfonds,6,"– 0,8",16,17.8,60,4986
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,"– 3,3",64,15.7,84,3453
Private Haushalte,53,"– 11,0",24,44,89,16939
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,11,21.7,1,0.9,1,72325
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,–,–,–,–,–,–
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,5,13.8,2,1.6,4,30815
Fabrik- und Werkstattgebäude,2,6.2,2,1.6,4,3499
Handelsgebäude,–,–,–,–,–,–
Warenlagergebäude,1,2.8,–,–,–,790
Hotels und Gaststätten,2,4.8,–,–,–,26526
Sonstige Nichtwohngebäude,6,7.9,– 1,"– 0,7",– 3,41510
Ausgewählte Infrastrukturgebäude,7,10.6,– 1,"– 0,7",– 3,42040
Öffentliche Bauherren,2,5.5,–,–,–,35497
Unternehmen,6,11.7,2,1.6,4,30851
Wohnungsunternehmen,2,6.6,2,1.6,4,16196
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,2.7,–,–,–,530
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,2.5,–,–,–,14125
Private Haushalte,1,2.3,–,–,–,284
Organisationen o. Erwerbszweck,2,2.2,– 1,"– 0,7",– 3,5693
