type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,86,17.8,96,101.5,302,140856
Wohngebäude zusammen,71,"– 18,3",84,90.6,268,46166
Wohnheime,2,"– 7,2",15,5.6,15,630
Wohngebäude mit Eigentumswohnungen,17,"– 0,6",25,33.4,102,20093
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,26,"– 14,1",78,63.1,194,33168
Wohnungsunternehmen,14,"– 0,9",29,29.5,85,21573
Immobilienfonds,2,0.3,10,4.5,28,1926
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,"– 0,4",2,1.3,7,30
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",9,"– 13,0",37,27.7,74,9639
Private Haushalte,45,"– 4,2",6,27.6,74,12998
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,15,36.1,12,10.8,34,94690
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,1.1,12,10.8,34,65051
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,7,14,–,–,–,24497
Fabrik- und Werkstattgebäude,1,7.2,–,–,–,4608
Handelsgebäude,3,10.3,–,–,–,4239
Warenlagergebäude,1,6.4,–,–,–,1895
Hotels und Gaststätten,1,0.8,–,–,–,135
Sonstige Nichtwohngebäude,4,21,–,–,–,5142
Ausgewählte Infrastrukturgebäude,5,28.2,–,–,–,9750
Öffentliche Bauherren,3,18.2,–,–,–,5121
Unternehmen,10,9.1,12,10.8,34,69437
Wohnungsunternehmen,1,2.8,2,3,11,2677
Immobilienfonds,2,"– 7,6",10,7.8,23,42263
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,7.2,–,–,–,4608
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,6.7,–,–,–,19889
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,2,8.7,–,–,–,20132
