type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,161,745.2,621,425.6,1602,603022
Wohngebäude zusammen,123,39.4,608,413.4,1565,138223
Wohnheime,2,"– 7,2",15,5.6,15,630
Wohngebäude mit Eigentumswohnungen,22,2.9,89,82,302,38849
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,46,21.6,547,324.9,1261,108348
Wohnungsunternehmen,33,34.5,491,286.3,1133,95053
Immobilienfonds,3,0.5,17,9.5,47,3626
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,"– 0,4",2,1.3,7,30
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",9,"– 13,0",37,27.7,74,9639
Private Haushalte,77,17.8,61,88.5,304,29875
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,38,705.8,13,12.2,37,464799
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,8,31.7,12,10.8,34,75356
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,20,422.3,–,–,–,285817
Fabrik- und Werkstattgebäude,4,30.2,–,–,–,11731
Handelsgebäude,5,28.6,–,–,–,8186
Warenlagergebäude,4,20.1,–,–,–,2747
Hotels und Gaststätten,2,46.8,–,–,–,12712
Sonstige Nichtwohngebäude,10,251.7,1,1.4,3,103626
Ausgewählte Infrastrukturgebäude,14,547.3,1,1.4,3,349868
Öffentliche Bauherren,9,247.9,–,–,–,105923
Unternehmen,24,432.8,12,10.8,34,336744
Wohnungsunternehmen,5,84.9,2,3,11,20342
Immobilienfonds,4,2.4,10,7.8,23,44609
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,20.5,–,–,–,6629
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",13,325.1,–,–,–,265164
Private Haushalte,1,8.4,–,–,–,445
Organisationen o. Erwerbszweck,4,16.7,1,1.4,3,21687
