type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,241,687.7,1114,760.7,3111,361196
1,0,residential_buildings,215,83.9,1160,812.2,3252,212322
2,1,dormitories,0,0.0,0,0.0,0,0
3,1,residential_buildings_with_condominium,38,-0.6,209,187.3,685,51343
4,1,Von den Bauherren waren,15,27.9,332,216.0,946,49522
5,1,public_builders,41,1.4,478,286.5,1144,89621
6,5,housing_companies,31,-12.6,248,200.1,780,59381
7,5,real_estate_funds,4,-3.4,12,8.9,35,1836
8,5,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
9,5,manufacturing_industry,1,0.9,5,2.8,10,820
10,5,trade_banking_services_insurance_transport_and_communications,5,16.6,213,74.8,319,27584
11,1,private_households,152,49.1,275,265.5,1015,66067
12,1,non_profit_organizations,7,5.5,75,44.2,147,7112
13,0,non_residential_buildings,26,603.8,-46,-51.5,-141,148874
14,13,institution_buildings,0,0.0,0,0.0,0,0
15,13,office_and_administration_buildings,4,158.7,2,1.4,6,59463
16,13,algricultural_buildings,0,0.0,0,0.0,0,0
17,13,non_algricultural_buildings,13,349.2,-48,-52.8,-147,61949
18,17,factory_and_workshop_buildings,5,214.8,0,0.3,3,42304
19,17,commercial_buildings,3,8.5,0,0.0,0,2558
20,17,warehouse_buildings,1,35.9,0,0.0,0,559
21,17,hotels_and_restaurants,3,67.5,-48,-53.2,-150,12495
22,13,other_non_residential_buildings,9,95.8,0,0.0,0,27462
23,13,selected_infrastructure_buildings,9,95.8,0,0.0,0,27462
24,13,public_builders,9,121.4,0,0.0,0,41097
25,13,companies,13,449.8,-46,-51.5,-141,97699
26,25,housing_companies,2,3.9,2,1.4,6,2831
27,25,real_estate_funds,1,5.0,0,0.0,0,2500
28,25,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
29,25,manufacturing_industry,3,199.1,0,0.3,3,34624
30,25,trade_banking_services_insurance_transport_and_communications,7,241.9,-48,-53.2,-150,57744
31,13,private_households,0,0.0,0,0.0,0,0
32,13,non_profit_organisations,4,32.7,0,0.0,0,10078
