type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,284,1518,1908,1457.1,5232,700672
1,0,residential_buildings,249,186.6,1852,1414.2,5107,317709
2,1,dormitories,0,0,0,0.0,0,0
3,1,residential_buildings_with_condominium,43,79.7,585,497.3,1744,120328
4,1,public_builders,5,21,199,141.0,584,23481
5,1,companies,117,159.7,1541,1131.9,3981,255330
6,5,housing_companies,102,151.5,1363,988.0,3510,219827
7,5,real_estate_funds,4,-2.9,106,95.8,281,25437
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0.0,0,0
9,5,manufacturing_industry,0,0,0,0.0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,11,11.1,72,48.1,190,10066
11,1,private_households,125,9.8,108,137.8,530,38568
12,1,non_profit_organizations,2,-3.8,4,3.6,12,330
13,0,non_residential_buildings,35,1331.4,56,42.9,125,382963
14,13,institution_buildings,0,0,0,0.0,0,0
15,13,office_and_administration_buildings,16,914.8,0,0.0,0,245220
16,13,algricultural_buildings,0,0,0,0.0,0,0
17,13,non_algricultural_buildings,7,114.2,18,17.6,63,21083
18,17,factory_and_workshop_buildings,0,0,0,0.0,0,0
19,17,commercial_buildings,1,39.8,18,17.6,63,8157
20,17,warehouse_buildings,0,0,0,0.0,0,0
21,17,hotels_and_restaurants,3,41.6,0,0.0,0,5995
22,13,other_non_residential_buildings,12,302.5,38,25.3,62,116660
23,13,selected_infrastructure_buildings,11,302.2,38,25.3,62,116450
24,13,public_builders,5,191.4,1,1.3,6,75008
25,13,companies,23,1043.4,19,32.4,77,265989
26,25,housing_companies,12,297.2,13,20.4,66,75987
27,25,real_estate_funds,2,440.6,0,0.0,0,104606
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0.0,0,0
29,25,manufacturing_industry,1,2.3,0,0.0,0,238
30,25,trade_banking_services_insurance_transport_and_communications,8,303.3,6,12.0,11,85158
31,13,private_households,5,36.9,0,0.0,0,9296
32,13,non_profit_organisations,2,59.7,36,9.3,42,32670
