type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,178,1273,1262.5,1477,1226.3,4456,572814
1,0,residential_buildings,150,620,221.9,1416,1186.1,4334,259083
2,1,residential_buildings_with_1_apartment,87,64,27.7,87,123.0,450,29461
3,1,residential_buildings_with_2_apartments,5,5,3.6,10,9.1,35,2164
4,1,residential_buildings_with_3_or_more_apartments,58,550,190.6,1319,1054.0,3849,227458
5,1,dormitories,0,0,0.0,0,0.0,0,0
6,1,residential_buildings_with_condominium,27,231,106.9,528,430.7,1544,106693
7,1,public_builders,5,68,21.0,199,141.0,584,23481
8,1,companies,77,499,177.5,1139,944.8,3359,210878
9,8,housing_companies,68,449,153.7,1029,853.1,3052,185996
10,8,real_estate_funds,1,34,12.7,78,62.1,190,19659
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,0,0,0.0,0,0.0,0,0
13,8,trade_banking_services_insurance_transport_and_communications,8,16,11.1,32,29.5,117,5223
14,1,private_households,68,52,23.4,78,100.4,391,24724
15,1,non_profit_organizations,0,0,0.0,0,0.0,0,0
16,0,non_residential_buildings,28,653,1040.6,61,40.2,122,313731
17,16,institution_buildings,0,0,0.0,0,0.0,0,0
18,16,office_and_administration_buildings,12,357,633.9,0,0.0,0,183805
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,7,55,114.2,18,17.6,63,21083
21,20,factory_and_workshop_buildings,0,0,0.0,0,0.0,0,0
22,20,commercial_buildings,1,21,39.8,18,17.6,63,8157
23,20,warehouse_buildings,0,0,0.0,0,0.0,0,0
24,20,hotels_and_restaurants,3,19,41.6,0,0.0,0,5995
25,16,other_non_residential_buildings,9,241,292.6,43,22.5,59,108843
26,16,selected_infrastructure_buildings,8,240,292.3,43,22.5,59,108633
27,16,public_builders,3,144,177.4,1,1.3,6,69091
28,16,companies,18,427,766.6,24,29.6,74,202674
29,28,housing_companies,9,72,86.8,18,17.6,63,13190
30,28,real_estate_funds,1,182,415.6,0,0.0,0,104101
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,1,1,2.3,0,0.0,0,238
33,28,trade_banking_services_insurance_transport_and_communications,7,171,261.9,6,12.0,11,85145
34,16,private_households,5,18,36.9,0,0.0,0,9296
35,16,non_profit_organisations,2,65,59.7,36,9.3,42,32670
