type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,106,255.6,431,230.8,776,127858
1,0,residential_buildings,99,-35.3,436,228.1,773,58626
2,1,dormitories,0,0,0,0.0,0,0
3,1,residential_buildings_with_condominium,16,-27.2,57,66.6,200,13635
4,1,public_builders,0,0,0,0.0,0,0
5,1,companies,40,-17.8,402,187.1,622,44452
6,5,housing_companies,34,-2.1,334,134.8,458,33831
7,5,real_estate_funds,3,-15.7,28,33.7,91,5778
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0.0,0,0
9,5,manufacturing_industry,0,0,0,0.0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,3,0,40,18.6,73,4843
11,1,private_households,57,-13.6,30,37.4,139,13844
12,1,non_profit_organizations,2,"– 3,8",4,3.6,12,330
13,0,non_residential_buildings,7,290.8,-5,2.7,3,69232
14,13,institution_buildings,0,0,0,0.0,0,0
15,13,office_and_administration_buildings,4,280.9,0,0.0,0,61415
16,13,algricultural_buildings,0,0,0,0.0,0,0
17,13,non_algricultural_buildings,0,0,0,0.0,0,0
18,17,factory_and_workshop_buildings,0,0,0,0.0,0,0
19,17,commercial_buildings,0,0,0,0.0,0,0
20,17,warehouse_buildings,0,0,0,0.0,0,0
21,17,hotels_and_restaurants,0,0,0,0.0,0,0
22,13,other_non_residential_buildings,3,9.9,-5,2.7,3,7817
23,13,selected_infrastructure_buildings,3,9.9,– 5,2.7,3,7817
24,13,public_builders,2,14,0,0.0,0,5917
25,13,companies,5,276.9,– 5,2.7,3,63315
26,25,housing_companies,3,210.5,-5,2.7,3,62797
27,25,real_estate_funds,1,25,0,0.0,0,505
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0.0,0,0
29,25,manufacturing_industry,0,0,0,0.0,0,0
30,25,trade_banking_services_insurance_transport_and_communications,1,41.4,0,0.0,0,13
31,13,private_households,0,0,0,0.0,0,0
32,13,non_profit_organisations,0,0,0,0.0,0,0
