type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,106,255.6,431,230.8,776,127858
Wohngebäude zusammen,99,-35.3,436,228.1,773,58626
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,16,-27.2,57,66.6,200,13635
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,40,-17.8,402,187.1,622,44452
Wohnungsunternehmen,34,-2.1,334,134.8,458,33831
Immobilienfonds,3,-15.7,28,33.7,91,5778
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,0,40,18.6,73,4843
Private Haushalte,57,-13.6,30,37.4,139,13844
Organisationen ohne Erwerbszweck,2,"– 3,8",4,3.6,12,330
Nichtwohngebäude,7,290.8,-5,2.7,3,69232
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,280.9,–,–,–,61415
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,–,–,–,–,–,–
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,3,9.9,-5,2.7,3,7817
Ausgewählte Infrastrukturgebäude,3,9.9,– 5,2.7,3,7817
Öffentliche Bauherren,2,14,–,–,–,5917
Unternehmen,5,276.9,– 5,2.7,3,63315
Wohnungsunternehmen,3,210.5,-5,2.7,3,62797
Immobilienfonds,1,25,–,–,–,505
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",1,41.4,–,–,–,13
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,–,–,–,–,–,–
