type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,284,1518,1908,1457.1,5232,700672
Wohngebäude zusammen,249,186.6,1852,1414.2,5107,317709
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,43,79.7,585,497.3,1744,120328
Öffentliche Bauherren,5,21,199,141,584,23481
Unternehmen,117,159.7,1541,1131.9,3981,255330
Wohnungsunternehmen,102,151.5,1363,988,3510,219827
Immobilienfonds,4,-2.9,106,95.8,281,25437
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",11,11.1,72,48.1,190,10066
Private Haushalte,125,9.8,108,137.8,530,38568
Organisationen ohne Erwerbszweck,2,"– 3,8",4,3.6,12,330
Nichtwohngebäude,35,1331.4,56,42.9,125,382963
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,16,914.8,–,–,–,245220
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,7,114.2,18,17.6,63,21083
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,1,39.8,18,17.6,63,8157
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,3,41.6,–,–,–,5995
Sonstige Nichtwohngebäude,12,302.5,38,25.3,62,116660
Ausgewählte Infrastrukturgebäude,11,302.2,38,25.3,62,116450
Öffentliche Bauherren,5,191.4,1,1.3,6,75008
Unternehmen,23,1043.4,19,32.4,77,265989
Wohnungsunternehmen,12,297.2,13,20.4,66,75987
Immobilienfonds,2,440.6,–,–,–,104606
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,2.3,–,–,–,238
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",8,303.3,6,12,11,85158
Private Haushalte,5,36.9,–,–,–,9296
Organisationen o. Erwerbszweck,2,59.7,36,9.3,42,32670
