type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,100,89.4,42,77.5,252,85260
Wohngebäude zusammen,87,-2.4,54,86.6,261,40088
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,14,"– 1,7",8,20.2,59,8655
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,27,-0.6,34,40.5,158,21483
Wohnungsunternehmen,17,-3.8,7,20.1,54,5458
Immobilienfonds,5,4.5,12,10.2,37,5156
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,–,–,0.1,1,54
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,"– 1,4",15,10.1,66,10815
Private Haushalte,59,"– 1,8",26,40.9,129,16508
Organisationen ohne Erwerbszweck,1,–,– 6,5.2,– 26,2097
Nichtwohngebäude,13,91.7,– 12,"– 9,1",– 9,45172
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,-0.2,2,1.8,8,8938
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,7,83.1,-2,-1.7,-8,36039
Fabrik- und Werkstattgebäude,3,74.5,–,–,–,33348
Handelsgebäude,1,2.1,–,–,–,440
Warenlagergebäude,1,2.3,–,–,–,1516
Hotels und Gaststätten,1,3.1,-1,-0.6,-3,696
Sonstige Nichtwohngebäude,2,8.9,-12,-9.2,-9,195
Ausgewählte Infrastrukturgebäude,2,8.9,-12,-9.2,-9,195
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,10,85.3,– 13,"– 10,3",– 14,43666
Wohnungsunternehmen,2,8.5,– 12,"– 9,2",– 9,755
Immobilienfonds,1,2.3,–,–,–,1516
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,14.3,–,–,–,31563
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,60.2,– 1,"– 1,1",– 5,9832
Private Haushalte,2,4.1,1,1.2,5,1436
Organisationen o. Erwerbszweck,1,2.4,–,–,–,70
