type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,249,591.3,1030,772.1,2745,362285
Wohngebäude zusammen,219,78.1,1042,781.2,2754,203351
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,39,30.9,263,253.9,804,68710
Öffentliche Bauherren,6,9.8,430,170.5,651,36989
Unternehmen,79,39.5,425,397.8,1340,109897
Wohnungsunternehmen,62,29.3,387,359.7,1169,88775
Immobilienfonds,7,6.5,14,18,63,7751
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,–,–,0.1,1,54
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",9,3.8,24,19.9,107,13317
Private Haushalte,133,28.9,193,207.7,789,54368
Organisationen ohne Erwerbszweck,1,–,– 6,5.2,– 26,2097
Nichtwohngebäude,30,513.2,– 12,"– 9,1",– 9,158934
Anstaltsgebäude,1,7.1,–,–,–,2140
Büro- und Verwaltungsgebäude,9,258.7,2,1.8,8,79182
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,14,154.3,– 2,"– 1,7",– 8,41117
Fabrik- und Werkstattgebäude,6,80.7,–,–,–,34722
Handelsgebäude,1,2.1,–,–,–,440
Warenlagergebäude,3,9.4,–,–,–,1807
Hotels und Gaststätten,1,3.1,-1,"– 0,6",-3,696
Sonstige Nichtwohngebäude,6,93.1,-12,-9.2,-9,36495
Ausgewählte Infrastrukturgebäude,7,101.7,– 12,"– 9,2",– 9,37827
Öffentliche Bauherren,1,2,–,–,–,1046
Unternehmen,22,488.8,– 13,"– 10,3",– 14,151472
Wohnungsunternehmen,4,112,– 12,"– 9,2",– 9,19560
Immobilienfonds,2,46.3,–,–,–,15499
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,5,21,–,–,–,33001
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",11,309.4,– 1,"– 1,1",– 5,83412
Private Haushalte,4,5.6,1,1.2,5,1474
Organisationen o. Erwerbszweck,3,16.9,–,–,–,4942
