type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,103,1054,1339.7,1038,696.9,2598,501725
1,0,residential_buildings,85,323,82.3,897,600.5,2315,155689
2,1,residential_buildings_with_1_apartment,37,28,12.9,37,53.0,216,13720
3,1,residential_buildings_with_2_apartments,4,4,3.2,8,8.4,24,2727
4,1,residential_buildings_with_3_or_more_apartments,44,291,66.3,852,539.2,2075,139242
5,1,dormitories,0,0,0.0,0,0.0,0,0
6,1,residential_buildings_with_condominium,8,50,8.5,204,82.4,366,24985
7,1,public_builders,9,57,13.6,162,112.7,478,33998
8,1,companies,38,230,52.8,676,420.6,1571,104244
9,8,housing_companies,19,121,27.9,404,226.8,921,62700
10,8,real_estate_funds,12,55,22.7,120,89.0,379,13498
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,0,0,0.0,0,0.0,0,0
13,8,trade_banking_services_insurance_transport_and_communications,7,54,2.2,152,104.9,271,28046
14,1,private_households,38,36,16.0,59,67.3,266,17447
15,1,non_profit_organizations,0,0,0.0,0,0.0,0,0
16,0,non_residential_buildings,18,731,1257.4,141,96.3,283,346036
17,16,institution_buildings,0,0,0.0,0,0.0,0,0
18,16,office_and_administration_buildings,3,415,811.8,141,96.3,283,206650
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,8,193,266.2,0,0.0,0,70542
21,20,factory_and_workshop_buildings,2,38,41.9,0,0.0,0,11419
22,20,commercial_buildings,3,80,119.1,0,0.0,0,17835
23,20,warehouse_buildings,1,1,1.7,0,0.0,0,36
24,20,hotels_and_restaurants,1,73,101.6,0,0.0,0,41104
25,16,other_non_residential_buildings,7,123,179.4,0,0.0,0,68844
26,16,selected_infrastructure_buildings,7,123,179.4,0,0.0,0,68844
27,16,public_builders,7,123,179.4,0,0.0,0,68844
28,16,companies,11,608,1078.0,141,96.3,283,277192
29,28,housing_companies,1,73,101.6,0,0.0,0,41104
30,28,real_estate_funds,1,24,42.7,0,0.0,0,13400
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,3,38,43.6,0,0.0,0,11455
33,28,trade_banking_services_insurance_transport_and_communications,6,472,890.1,141,96.3,283,211233
34,16,private_households,0,0,0.0,0,0.0,0,0
35,16,non_profit_organisations,0,0,0.0,0,0.0,0,0
