type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,69,11.6,95,110.5,319,73736
1,0,residential_buildings,61,"– 32,5",93,112.1,313,42615
2,1,dormitories,0,0,0,0,0,0
3,1,residential_buildings_with_condominium,14,"– 38,4",37,55.5,151,16704
4,1,public_builders,4,0,6,4.1,17,672
5,1,companies,19,"– 25,6",55,72.6,196,20469
6,5,housing_companies,16,"– 26,0",45,62.1,163,17554
7,5,real_estate_funds,2,0,8,6.4,25,1606
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,1,0.4,2,4.1,8,1309
11,1,private_households,37,"– 6,5",18,31.1,88,12559
12,1,non_profit_organizations,1,"– 0,3",14,4.4,12,8915
13,0,non_residential_buildings,8,44.1,2,"– 1,7",6,31121
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,2,8.5,2,0,8,7011
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,0,0,0,0,0,0
18,17,factory_and_workshop_buildings,0,0,0,0,0,0
19,17,commercial_buildings,0,0,0,0,0,0
20,17,warehouse_buildings,0,0,0,0,0,0
21,17,hotels_and_restaurants,0,0,0,0,0,0
22,13,other_non_residential_buildings,6,35.6,0,"– 1,7",– 2,24110
23,13,selected_infrastructure_buildings,6,35.6,0,"– 1,7",– 2,24110
24,13,public_builders,1,1.8,0,0,0,869
25,13,companies,4,38.8,0,"– 1,7",– 2,26786
26,25,housing_companies,0,0,0,0,0,0
27,25,real_estate_funds,0,0,0,0,0,0
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,1,32.3,0,0,0,19754
30,25,trade_banking_services_insurance_transport_and_communications,3,6.4,0,"– 1,7",– 2,7032
31,13,private_households,0,0,0,0,0,0
32,13,non_profit_organisations,3,3.5,2,0,8,3466
