type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,84,-50.2,197,129,426,53587
1,0,residential_buildings,79,-47,198,129.8,430,46312
2,1,dormitories,2,-17.1,65,17.1,67,249
3,1,residential_buildings_with_condominium,13,-16.1,23,28.7,88,17194
4,1,public_builders,1,-0.9,1,0.9,4,11
5,1,companies,20,-34.3,169,87,269,27759
6,5,housing_companies,15,-30.9,161,72.3,240,23809
7,5,real_estate_funds,2,0,7,8.5,27,2892
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,3,-3.4,1,6.3,2,1058
11,1,private_households,58,-11.8,28,41.9,157,18542
12,1,non_profit_organizations,0,0,0,0,0,0
13,0,non_residential_buildings,5,-3.2,-1,-0.8,-4,7275
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,4,-4.2,-1,-0.8,-4,5784
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,1,1.1,0,0,0,1491
18,17,factory_and_workshop_buildings,0,0,0,0,0,0
19,17,commercial_buildings,1,1.1,0,0,0,1491
20,17,warehouse_buildings,0,0,0,0,0,0
21,17,hotels_and_restaurants,0,0,0,0,0,0
22,13,other_non_residential_buildings,0,0,0,0,0,0
23,13,selected_infrastructure_buildings,0,0,0,0,0,0
24,13,public_builders,1,1.3,-1,-1.3,-6,135
25,13,companies,4,-4.4,0,0.5,2,7140
26,25,housing_companies,0,0,0,0,0,0
27,25,real_estate_funds,0,0,0,0,0,0
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,1,2.9,0,0,0,839
30,25,trade_banking_services_insurance_transport_and_communications,3,-7.4,0,0.5,2,6301
31,13,private_households,0,0,0,0,0,0
32,13,non_profit_organisations,0,0,0,0,0,0
