type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,245,1028,1853,879.4,3451,545296
1,0,residential_buildings,217,78.6,1827,864.7,3391,254649
2,1,dormitories,3,-16,77,23.3,91,1254
3,1,residential_buildings_with_condominium,20,11.8,143,124.8,431,29812
4,1,public_builders,4,14.7,38,28.2,99,5837
5,1,companies,68,41.2,1585,641.4,2546,193588
6,5,housing_companies,50,"– 4,8",1373,490.4,1973,148341
7,5,real_estate_funds,2,0,7,8.5,27,2892
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,2,22.5,45,34.9,127,3560
10,5,trade_banking_services_insurance_transport_and_communications,14,23.4,160,107.7,419,38795
11,1,private_households,142,20.6,194,189.9,722,53750
12,1,non_profit_organizations,3,2.2,10,5.2,24,1474
13,0,non_residential_buildings,28,949.3,26,14.7,60,290647
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,15,603.8,4,6.2,9,189880
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,7,113.5,22,8.5,51,16265
18,17,factory_and_workshop_buildings,1,0.7,0,0,0,65
19,17,commercial_buildings,1,1.1,0,0,0,1491
20,17,warehouse_buildings,2,81.8,0,0,0,4872
21,17,hotels_and_restaurants,1,20.4,0,0,0,5377
22,13,other_non_residential_buildings,6,232,0,0,0,84502
23,13,selected_infrastructure_buildings,6,232,0,0,0,84502
24,13,public_builders,5,230.1,– 1,"– 1,3",– 6,83692
25,13,companies,20,711.2,27,16,66,203946
26,25,housing_companies,4,310.4,22,8.5,51,87281
27,25,real_estate_funds,2,101.5,0,0,0,29696
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,1,2.9,0,0,0,839
30,25,trade_banking_services_insurance_transport_and_communications,13,296.4,5,7.5,15,86130
31,13,private_households,1,1.2,0,0,0,140
32,13,non_profit_organisations,2,6.8,0,0,0,2869
