type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,142,423,384.0,872,470.0,1938,233104
1,0,residential_buildings,125,246,65.3,870,466.5,1927,118322
2,1,residential_buildings_with_1_apartment,86,47,10.9,86,96.2,347,21739
3,1,residential_buildings_with_2_apartments,5,7,3.8,10,10.8,41,3052
4,1,residential_buildings_with_3_or_more_apartments,34,192,50.6,774,359.5,1539,93531
5,1,dormitories,0,0,0.0,0,0.0,0,0
6,1,residential_buildings_with_condominium,17,114,26.8,562,218.4,979,57215
7,1,public_builders,5,17,7.5,46,30.7,126,6961
8,1,companies,82,186,35.8,754,362.7,1521,86177
9,8,housing_companies,66,147,27.9,660,291.1,1235,72415
10,8,real_estate_funds,0,0,0.0,0,0.0,0,0
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,10,5,1.2,10,10.8,46,2090
13,8,trade_banking_services_insurance_transport_and_communications,6,34,6.7,84,60.8,240,11672
14,1,private_households,37,33,15.7,53,61.4,233,18362
15,1,non_profit_organizations,1,9,6.3,17,11.7,47,6822
16,0,non_residential_buildings,17,177,318.7,2,3.5,11,114782
17,16,institution_buildings,1,34,48.6,0,0.0,0,20515
18,16,office_and_administration_buildings,2,20,46.8,2,3.5,11,18876
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,10,77,154.4,0,0.0,0,55620
21,20,factory_and_workshop_buildings,3,37,46.3,0,0.0,0,45993
22,20,commercial_buildings,0,0,0.0,0,0.0,0,0
23,20,warehouse_buildings,2,2,6.5,0,0.0,0,157
24,20,hotels_and_restaurants,1,11,31.1,0,0.0,0,4450
25,16,other_non_residential_buildings,4,47,69.0,0,0.0,0,19771
26,16,selected_infrastructure_buildings,5,81,117.6,0,0.0,0,40286
27,16,public_builders,3,43,40.0,0,0.0,0,52719
28,16,companies,12,123,265.0,2,3.5,11,58693
29,28,housing_companies,2,18,41.9,0,0.0,0,10325
30,28,real_estate_funds,4,55,144.3,0,0.0,0,15350
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,2,3,6.4,0,0.0,0,1322
33,28,trade_banking_services_insurance_transport_and_communications,4,47,72.5,2,3.5,11,31696
34,16,private_households,1,1,1.9,0,0.0,0,210
35,16,non_profit_organisations,1,10,11.9,0,0.0,0,3160
