type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,227,416.4,977,551.8,2250,303521
1,0,residential_buildings,201,62.3,974,547.8,2236,165688
2,1,dormitories,0,0.0,0,0.0,0,0
3,1,residential_buildings_with_condominium,35,25.7,595,226.3,1047,80764
4,1,public_builders,14,7.2,63,41.5,175,8996
5,1,companies,102,33.4,804,385.7,1642,115251
6,5,housing_companies,81,27.6,681,322.4,1321,98201
7,5,real_estate_funds,2,0.1,2,1.0,5,451
8,5,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
9,5,manufacturing_industry,10,1.2,10,10.8,46,2090
10,5,trade_banking_services_insurance_transport_and_communications,9,4.4,111,51.5,270,14509
11,1,private_households,84,15.5,90,108.9,372,34619
12,1,non_profit_organizations,1,6.3,17,11.7,47,6822
13,0,non_residential_buildings,26,354.1,3,4.0,14,137833
14,13,institution_buildings,1,48.6,0,0.0,0,20515
15,13,office_and_administration_buildings,4,67.0,2,3.5,11,27986
16,13,algricultural_buildings,0,0.0,0,0.0,0,0
17,13,non_algricultural_buildings,16,168.1,1,0.6,3,69061
18,17,factory_and_workshop_buildings,3,46.3,0,0.0,0,45993
19,17,commercial_buildings,3,3.0,0,0.0,0,2935
20,17,warehouse_buildings,4,15.3,1,0.6,3,10651
21,17,hotels_and_restaurants,2,32.9,0,0.0,0,4462
22,13,other_non_residential_buildings,5,70.4,0,0.0,0,20271
23,13,selected_infrastructure_buildings,6,119.1,0,0.0,0,40786
24,13,public_builders,4,42.7,0,0.0,0,53769
25,13,companies,18,296.7,2,3.5,11,80041
26,25,housing_companies,2,41.9,0,0.0,0,10325
27,25,real_estate_funds,6,155.5,0,0.0,0,25703
28,25,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
29,25,manufacturing_industry,2,6.4,0,0.0,0,1322
30,25,trade_banking_services_insurance_transport_and_communications,8,93.0,2,3.5,11,42691
31,13,private_households,2,1.3,1,0.6,3,363
32,13,non_profit_organisations,2,13.4,0,0.0,0,3660
