type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,90,-19.6,176,135.6,527,60175
1,0,residential_buildings,82,-39.5,159,126.5,488,50771
2,1,dormitories,0,0,0,0,0,0
3,1,residential_buildings_with_condominium,18,-3.2,29,24.2,104,10057
4,1,public_builders,5,-0.1,29,14.3,65,11943
5,1,companies,19,-29.4,96,69.4,260,23814
6,5,housing_companies,17,-28.8,95,69,259,23554
7,5,real_estate_funds,1,0,0,-0.2,-1,20
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,1,-0.7,1,0.7,2,240
11,1,private_households,56,-10.1,30,40.2,153,13110
12,1,non_profit_organizations,2,0.2,4,2.5,10,1904
13,0,non_residential_buildings,8,19.9,17,9.2,39,9404
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,2,15.3,1,2.8,14,684
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,5,7,4,4,13,8512
18,17,factory_and_workshop_buildings,1,-1.4,2,1.4,6,900
19,17,commercial_buildings,1,10,0,0,0,7230
20,17,warehouse_buildings,0,0,0,0,0,0
21,17,hotels_and_restaurants,2,-0.4,1,1.5,4,345
22,13,other_non_residential_buildings,1,-2.4,12,2.4,12,208
23,13,selected_infrastructure_buildings,1,-2.4,12,2.4,12,208
24,13,public_builders,0,0,0,0,0,0
25,13,companies,6,20,16,8,36,9203
26,25,housing_companies,1,-3.0,1,2.8,14,89
27,25,real_estate_funds,2,28.3,0,0,0,7825
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,1,-1.4,2,1.4,6,900
30,25,trade_banking_services_insurance_transport_and_communications,2,-3.8,13,3.8,16,389
31,13,private_households,2,-0.1,1,1.1,3,201
32,13,non_profit_organisations,0,0,0,0,0,0
