type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,154,1127,1210.6,1555,1137.1,4588,580844
1,0,residential_buildings,130,547,154.7,1555,1137.1,4588,309202
2,1,residential_buildings_with_1_apartment,40,36,18.8,40,65.8,221,16433
3,1,residential_buildings_with_2_apartments,2,3,2.0,4,5.0,24,1354
4,1,residential_buildings_with_3_or_more_apartments,88,509,134.0,1511,1066.4,4343,291415
5,1,dormitories,0,0,0.0,0,0.0,0,0
6,1,residential_buildings_with_condominium,20,72,21.0,222,173.2,716,70946
7,1,public_builders,26,103,36.1,313,214.8,836,51200
8,1,companies,57,335,65.6,957,696.5,2845,197495
9,8,housing_companies,55,322,56.2,908,663.8,2710,186281
10,8,real_estate_funds,1,12,9.3,48,30.6,128,10711
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,0,0,0.0,0,0.0,0,0
13,8,trade_banking_services_insurance_transport_and_communications,1,1,0.0,1,2.1,7,503
14,1,private_households,40,43,27.0,90,88.5,337,21586
15,1,non_profit_organizations,7,66,26.0,195,137.3,570,38921
16,0,non_residential_buildings,24,580,1055.9,0,0.0,0,271642
17,16,institution_buildings,1,40,76.6,0,0.0,0,17500
18,16,office_and_administration_buildings,3,223,448.4,0,0.0,0,113274
19,16,algricultural_buildings,1,7,11.7,0,0.0,0,347
20,16,non_algricultural_buildings,6,130,208.5,0,0.0,0,36304
21,20,factory_and_workshop_buildings,3,85,135.2,0,0.0,0,24561
22,20,commercial_buildings,0,0,0.0,0,0.0,0,0
23,20,warehouse_buildings,0,0,0.0,0,0.0,0,0
24,20,hotels_and_restaurants,1,39,57.7,0,0.0,0,9500
25,16,other_non_residential_buildings,13,179,310.8,0,0.0,0,104217
26,16,selected_infrastructure_buildings,13,183,313.9,0,0.0,0,119055
27,16,public_builders,11,181,307.8,0,0.0,0,114322
28,16,companies,11,394,738.3,0,0.0,0,153760
29,28,housing_companies,3,80,127.4,0,0.0,0,24639
30,28,real_estate_funds,1,160,338.4,0,0.0,0,94274
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,2,10,20.9,0,0.0,0,2630
33,28,trade_banking_services_insurance_transport_and_communications,5,144,251.7,0,0.0,0,32217
34,16,private_households,0,0,0.0,0,0.0,0,0
35,16,non_profit_organisations,2,5,9.8,0,0.0,0,3560
